Generation number	Allele number	Frequency	Activity
0	-3	0.999893	0.000214777
0	0	1	0.999905
10	-3	0.999065	0.00186238
10	0	1	0.998959
20	-3	0.998111	0.00375022
20	0	1	0.997926
30	-3	0.997503	0.00494998
30	0	0.996998	0.996864
30	3	0.0030015	0.999405
40	-3	0.996395	0.00711017
40	0	0.996998	0.995365
40	4	0.0030015	0.999173
50	-3	0.995629	0.00860922
50	0	0.985493	0.99433
50	4	0.0145073	0.998324
60	-3	0.994375	0.0110137
60	0	0.98049	0.993393
60	4	0.0195098	0.997385
70	-3	0.993414	0.0128344
70	0	0.98049	0.992358
70	4	0.018009	0.996626
70	9	0.0010005	0.999106
70	10	0.00050025	0.999816
80	-3	0.99259	0.0143837
80	0	0.987494	0.990624
80	4	0.0125063	0.996214
90	-3	0.991914	0.0156464
90	0	0.992996	0.989054
90	4	0.0070035	0.995083
100	-3	0.990698	0.01793
100	0	0.996498	0.987718
100	4	0.00250125	0.994138
100	15	0.0010005	0.999786
110	-3	0.990065	0.0192022
110	0	0.974987	0.986479
110	4	0.012006	0.99337
110	15	0.012006	0.998866
110	16	0.0010005	1
120	-3	0.989253	0.0207291
120	0	0.922461	0.985114
120	4	0.0325163	0.992508
120	15	0.0450225	0.997864
130	-3	0.988404	0.0222451
130	0	0.894447	0.983779
130	4	0.0330165	0.99167
130	15	0.0715358	0.996951
130	19	0.0010005	0.99988
140	-3	0.987895	0.0231573
140	0	0.898449	0.982634
140	4	0.026013	0.99084
140	15	0.0755378	0.995634
150	-3	0.986508	0.0257279
150	0	0.904452	0.981973
150	4	0.0515258	0.989406
150	15	0.044022	0.994496
160	-3	0.986054	0.0265937
160	0	0.913957	0.980178
160	4	0.0470235	0.988435
160	15	0.0390195	0.993676
170	-3	0.984349	0.0296935
170	0	0.945973	0.97868
170	4	0.0155078	0.987833
170	15	0.0385193	0.992771
180	-3	0.984341	0.0296824
180	0	0.957479	0.976634
180	4	0.010005	0.987449
180	15	0.0325163	0.992246
190	-3	0.98331	0.0314565
190	0	0.963482	0.975936
190	4	0.004002	0.987038
190	15	0.0305153	0.990699
190	29	0.002001	0.999375
200	-3	0.982783	0.0324208
200	0	0.966983	0.9748
200	4	0.0130065	0.985624
200	15	0.0195098	0.989529
200	32	0.00050025	1
210	-3	0.982019	0.0337048
210	0	0.938969	0.972738
210	4	0.0265133	0.984514
210	15	0.0335168	0.988673
210	35	0.0010005	0.999896
220	-3	0.980871	0.0357838
220	0	0.924462	0.971216
