Generation number	Allele number	Frequency	Activity
0	-3	0.9125	0.15625
0	0	1	1
10	-3	0.5875	0.42625
10	0	0.789474	0.8625
10	1	0.0526316	0.975
10	2	0.157895	0.975
20	-3	0.325	0.3725
20	0	0.736842	0.4875
20	2	0.263158	0.85
30	-3	0.3375	0.40875
30	0	0.684211	0.25
30	2	0.315789	0.75
40	-3	0.3125	0.33625
40	0	0.578947	0.25
40	2	0.421053	0.7
50	-3	0.35	0.4225
50	0	0.526316	0.25
50	2	0.473684	0.45
60	-3	0.425	0.4075
60	0	0.526316	0.25
60	2	0.0526316	0.3625
60	7	0.315789	1
60	9	0.105263	1
70	-3	0.45	0.4375
70	7	0.736842	0.9125
70	10	0.315789	0.7625
80	-3	0.3875	0.42875
80	7	0.421053	0.85
80	10	0.631579	0.5625
90	-3	0.2625	0.28625
90	7	0.631579	0.7625
90	10	0.421053	0.4875
100	-3	0.35	0.39
100	7	0.473684	0.7
100	10	0.473684	0.475
100	19	0.105263	1
110	-3	0.4875	0.47625
110	7	0.263158	0.45
110	10	0.421053	0.3375
110	19	0.263158	0.7875
110	20	0.105263	1
120	-3	0.4875	0.35375
120	7	0.0526316	0.55
120	20	1	0.9
130	-3	0.45	0.3575
130	7	0.578947	0.25
130	20	0.157895	0.5375
130	24	0.315789	0.9875
140	-3	0.5125	0.30125
140	20	0.0526316	0.5
140	24	0.947368	1
140	27	0.0526316	1
150	-3	0.4875	0.38625
150	24	1.05263	0.775
160	-3	0.4375	0.37875
160	24	0.631579	0.675
160	30	0.263158	0.95
160	35	0.105263	1
160	36	0.0526316	1
170	-3	0.5375	0.42625
170	24	0.315789	0.7375
170	30	0.526316	0.925
170	37	0.210526	0.925
180	-3	0.5625	0.29375
180	30	0.421053	0.6375
180	37	0.631579	0.875
190	-3	0.55	0.375
190	37	1.05263	0.7125
200	-3	0.4	0.4325
200	37	1.05263	0.75
210	-3	0.25	0.305
210	37	1.05263	0.675
220	-3	0.175	0.2775
220	37	1.05263	0.575
230	-3	0.45	0.3875
230	37	1.05263	0.5
240	-3	0.6125	0.42125
240	37	1.05263	0.5
250	-3	0.2625	0.33875
250	37	0.684211	0.4375
250	56	0.368421	0.975
260	-3	0.4625	0.46375
260	37	0.421053	0.3125
260	56	0.105263	0.9
260	57	0.263158	0.9625
260	58	0.263158	0.975
270	-3	0.7	0.3875
270	56	0.0526316	0.7875
270	57	0.421053	0.9
270	58	0.578947	0.7875
280	-3	0.5375	0.49125
280	57	0.789474	0.85
280	58	0.210526	0.5
280	60	0.0526316	0.9375
290	-3	0.525	0.4475
290	57	0.947368	0.875
290	58	0.105263	0.575
300	-3	0.85	0.2425
300	57	0.263158	0.75
300	63	0.736842	0.7625
300	64	0.0526316	1
310	-3	0.625	0.4275
310	63	1	0.4875
310	64	0.0526316	0.8125
320	-3	0.65	0.31
320	63	1.05263	0.25
330	-3	0.175	0.265
330	63	1.05263	0.25
340	-3	0.5125	0.34875
340	63	1.05263	0.25
350	-3	0.525	0.335
350	63	0.578947	0.25
350	68	0.473684	0.8375
360	-3	0.575	0.4175
360	63	0.578947	0.25
360	68	0.473684	0.5375
370	-3	0.7125	0.38875
370	63	1.05263	0.25
380	-3	0.675	0.3075
380	63	0.789474	0.25
380	73	0.263158	1
390	-3	0.525	0.305
390	63	1.05263	0.25
400	-3	0.5125	0.24625
400	63	1.05263	0.25
410	-3	0.3	0.3275
410	63	1.05263	0.25
420	-3	0.4125	0.28875
420	63	1	0.25
420	79	0.0526316	1
430	-3	0.3625	0.34625
430	63	1.05263	0.25
440	-3	0.45	0.44
440	63	1	0.25
440	81	0.0526316	1
450	-3	0.5875	0.45625
450	63	0.894737	0.2375
450	82	0.157895	0.9625
460	-3	0.5875	0.45375
460	63	0.578947	0.25
460	82	0.315789	0.85
460	83	0.157895	0.8125
470	-3	0.575	0.3275
470	63	0.578947	0.25
470	82	0.210526	0.8875
470	84	0.0526316	0.8125
470	87	0.210526	1
480	-3	0.575	0.345
480	63	0.315789	0.125
480	82	0.315789	0.7125
480	84	0.105263	0.6125
480	87	0.315789	0.9375
490	-3	0.3	0.3375
490	82	0.157895	0.375
490	89	0.842105	0.95
490	91	0.0526316	1
500	-3	0.475	0.355
500	82	0.157895	0.225
500	89	0.894737	0.7625
510	-3	0.3	0.3525
510	89	0.210526	0.5125
510	93	0.421053	0.875
510	94	0.421053	1
520	-3	0.2875	0.39125
520	93	0.0526316	0.8125
520	94	0.368421	0.6875
520	96	0.421053	0.825
520	97	0.210526	1
530	-3	0.3125	0.38875
530	94	0.157895	0.5125
530	96	0.263158	0.6625
530	97	0.631579	0.9625
540	-3	0.2125	0.29375
540	97	0.631579	0.9
540	101	0.421053	0.9625
550	-3	0.5125	0.48625
550	97	0.578947	0.75
550	101	0.157895	0.7
550	104	0.263158	0.9125
550	105	0.0526316	1
560	-3	0.375	0.3875
560	97	0.631579	0.7
560	104	0.421053	0.75
570	-3	0.4	0.2375
570	97	0.578947	0.675
570	104	0.473684	0.75
580	-3	0.3125	0.37125
580	97	0.578947	0.675
580	104	0.157895	0.5125
580	110	0.315789	1
590	-3	0.4375	0.34875
590	97	0.421053	0.5375
590	104	0.631579	0.375
600	-3	0.55	0.275
600	97	1.05263	0.35
610	-3	0.425	0.2725
610	97	0.578947	0.25
610	115	0.473684	0.925
620	-3	0.3625	0.33125
620	97	0.736842	0.25
620	115	0.315789	0.4375
630	-3	0.225	0.325
630	97	0.842105	0.2
630	115	0.210526	0.25
640	-3	0.3625	0.43125
640	97	0.842105	0.25
640	122	0.210526	0.975
650	-3	0.4375	0.41875
650	97	1.05263	0.25
660	-3	0.4875	0.37375
660	97	0.947368	0.25
660	124	0.105263	0.9625
670	-3	0.3	0.2925
670	97	0.263158	0.225
670	124	0.736842	0.7875
670	126	0.0526316	0.9625
680	-3	0.4875	0.39375
680	97	0.105263	0.225
680	124	0.947368	0.6875
690	-3	0.425	0.415
690	97	0.315789	0.0375
690	124	0.736842	0.7
700	-3	0.5	0.375
700	124	0.736842	0.6125
700	131	0.315789	1
