Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	0.999905	1.58653	0.94518	0.0463138	0.00189036	0.00661626	0.00918335
10	1	1	0.998959	1.65741	0.953289	0.0400381	0.00142993	0.00524309	0.00895651
20	1	1	0.997926	1.59531	0.946074	0.0421003	0.00236518	0.00946074	0.00899665
30	2	1.00602	0.996871	1.65338	0.952835	0.0381134	0.00190567	0.00714626	0.00912426
40	2	1.00602	0.995376	1.60483	0.951475	0.0404377	0.00190295	0.00618459	0.00916457
50	2	1.02944	0.994388	1.64609	0.957396	0.0330302	0.00239349	0.00718047	0.0091478
60	2	1.03978	0.99347	1.61343	0.959233	0.0326139	0.000479616	0.00767386	0.00893164
70	4	1.03984	0.992445	1.61776	0.95511	0.0353391	0.00143266	0.00811843	0.00897039
80	2	1.02533	0.990694	1.59981	0.953743	0.0386266	0.00190749	0.00572246	0.00903855
90	2	1.01411	0.989096	1.60962	0.947867	0.043128	0.00236967	0.00663507	0.00917904
100	3	1.00703	0.987746	1.61515	0.953743	0.0352885	0.00286123	0.00810682	0.00917866
110	4	1.05165	0.986724	1.62779	0.947418	0.040739	0.00426338	0.00757935	0.00884467
120	3	1.17093	0.985928	1.76432	0.953743	0.0352885	0.000476872	0.0104912	0.00866302
130	4	1.24032	0.984998	1.77093	0.942063	0.0414508	0.00235516	0.0141309	0.00829567
140	3	1.22911	0.983829	1.7711	0.954654	0.0310263	0.00238663	0.0119332	0.00833169
150	3	1.21562	0.982907	1.77167	0.954198	0.0329198	0.0019084	0.0109733	0.0081936
160	3	1.19182	0.981093	1.70473	0.949668	0.0322887	0.00522317	0.0128205	0.00849885
170	3	1.11534	0.979365	1.69517	0.950119	0.0342043	0.00332542	0.0123515	0.00865318
180	3	1.08942	0.97725	1.7097	0.948317	0.0436226	0.00189663	0.00616406	0.00886876
190	4	1.07614	0.976478	1.66385	0.94697	0.0416667	0.00331439	0.00804924	0.00870483
200	4	1.06882	0.975241	1.68176	0.953743	0.0338579	0.0033381	0.00906056	0.00880189
210	4	1.13187	0.973611	1.73709	0.951022	0.0399429	0.00142653	0.00760818	0.00863981
220	4	1.16607	0.972362	1.71338	0.950119	0.0384798	0.00190024	0.00950119	0.00854425
230	3	1.11678	0.969988	1.68378	0.948317	0.0341394	0.00331911	0.0142248	0.00867499
240	3	1.08194	0.967604	1.67604	0.947867	0.0388626	0.00236967	0.0109005	0.00893053
250	4	1.12727	0.967189	1.7445	0.948767	0.038425	0.0028463	0.00996205	0.0086414
260	5	1.18938	0.966602	1.75952	0.942063	0.0405087	0.00423928	0.0131889	0.00867861
270	4	1.20992	0.965833	1.74528	0.950119	0.0337292	0.00522565	0.0109264	0.00829967
280	3	1.23446	0.963886	1.74403	0.954654	0.0324582	0.00238663	0.0105012	0.0084904
290	4	1.27045	0.962084	1.76591	0.942063	0.0466321	0.00282619	0.00847857	0.00819629
