Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	1	0.000775	0.869565	0	0	0.130435	0.699702
10	3	1.53617	0.886184	0.00067	0.909091	0	0	0.0909091	0.765893
20	2	1.63348	0.582895	0.000602	0.909091	0	0	0.0909091	0.715417
30	2	1.76098	0.407895	0.000573	0.666667	0	0.0333333	0.3	0.672202
40	2	1.95135	0.439474	0.00073	0.8	0	0	0.2	0.82994
50	2	1.99448	0.344737	0.000651	0.952381	0	0	0.047619	0.879167
60	4	2.56028	0.571711	0.000596	0.833333	0	0	0.166667	0.78756
70	2	1.55603	0.913158	0.000729	0.769231	0	0	0.230769	0.574425
80	2	1.73558	0.713158	0.000723	0.869565	0	0	0.130435	0.517024
90	2	1.73558	0.686842	0.000754	0.740741	0	0	0.259259	0.676667
100	3	2.1747	0.661842	0.000683	0.740741	0	0	0.259259	0.682262
110	4	3.05932	0.573026	0.000692	0.833333	0	0	0.166667	0.6825
120	2	0.997238	0.928947	0.000577	1	0	0	0	0.701845
130	3	2.1747	0.541447	0.000737	0.588235	0	0.0588235	0.352941	0.792917
140	3	1.10736	1.02632	0.000594	1	0	0	0	0.739524
150	1	0.9025	0.815789	0.000664	0.689655	0	0	0.310345	0.565476
160	4	2.07471	0.834211	0.000662	0.909091	0	0	0.0909091	0.648671
170	3	2.375	0.914474	0.000693	0.909091	0	0	0.0909091	0.721429
180	2	1.73558	0.821053	0.000674	0.909091	0	0	0.0909091	0.660119
190	1	0.9025	0.75	0.000589	0.869565	0	0	0.130435	0.70869
200	1	0.9025	0.789474	0.000557	0.909091	0	0	0.0909091	0.72619
210	1	0.9025	0.710526	0.000525	0.833333	0	0	0.166667	0.759762
220	1	0.9025	0.605263	0.000584	0.769231	0	0	0.230769	0.768929
230	1	0.9025	0.526316	0.000539	0.714286	0	0	0.285714	0.846667
240	1	0.9025	0.526316	0.000537	0.8	0	0	0.2	0.798333
250	2	1.65596	0.658553	0.000574	0.909091	0	0	0.0909091	0.763512
260	4	3.05932	0.736184	0.000697	0.909091	0	0	0.0909091	0.711726
270	3	1.94086	0.876316	0.000597	0.952381	0	0	0.047619	0.59631
280	3	1.49174	0.825658	0.000669	0.740741	0	0	0.259259	0.638988
290	2	1.10061	0.889474	0.000679	0.740741	0	0	0.259259	0.609524
300	3	1.62613	0.811842	0.000645	0.8	0	0	0.2	0.750179
310	2	0.997238	0.530263	0.000594	1	0	0	0	0.773571
320	1	0.9025	0.263158	0.000416	0.869565	0	0	0.130435	1
330	1	0.9025	0.263158	0.000421	0.833333	0	0	0.166667	1
340	1	0.9025	0.263158	0.000588	0.833333	0	0	0.166667	1
350	2	1.78713	0.541447	0.000566	0.8	0	0	0.2	0.782619
360	2	1.78713	0.399342	0.000511	0.769231	0	0.0384615	0.192308	0.7725
370	1	0.9025	0.263158	0.00044	0.740741	0	0	0.259259	1
380	2	1.444	0.460526	0.000549	0.952381	0	0	0.047619	0.881131
390	1	0.9025	0.263158	0.00042	0.869565	0	0.0434783	0.0869565	1
400	1	0.9025	0.263158	0.000448	0.833333	0	0	0.166667	1
410	1	0.9025	0.263158	0.000499	0.8	0	0	0.2	0.955357
420	2	0.997238	0.302632	0.000455	0.769231	0	0.0384615	0.192308	0.966964
430	1	0.9025	0.263158	0.000431	0.8	0	0	0.2	1
440	2	0.997238	0.302632	0.000622	0.952381	0	0.047619	0	0.940714
450	2	1.21141	0.364474	0.000543	0.909091	0	0	0.0909091	0.823452
460	3	2.1747	0.541447	0.000573	0.909091	0	0	0.0909091	0.638631
470	4	2.34416	0.584868	0.000654	0.714286	0	0	0.285714	0.748889
480	4	3.22321	0.625	0.00066	0.833333	0	0	0.166667	0.63373
490	3	1.35714	0.911842	0.00062	0.952381	0	0	0.047619	0.632619
500	2	1.21141	0.717763	0.000552	0.740741	0	0	0.259259	0.652857
510	3	2.50694	0.897368	0.000663	0.909091	0	0	0.0909091	0.662321
520	4	2.77692	0.853947	0.000686	0.909091	0	0	0.0909091	0.530833
530	3	2.02809	0.863158	0.000661	0.909091	0	0	0.0909091	0.628095
540	2	1.73558	0.973684	0.000664	0.909091	0	0	0.0909091	0.632004
550	4	2.3141	0.8375	0.000638	0.909091	0	0	0.0909091	0.585
560	2	1.73558	0.757895	0.000585	1	0	0	0	0.664702
570	2	1.78713	0.746053	0.000623	0.769231	0	0	0.230769	0.669762
580	3	2.1747	0.7875	0.000626	0.8	0	0	0.2	0.718095
590	2	1.73558	0.463158	0.000511	0.909091	0	0	0.0909091	0.858452
600	1	0.9025	0.368421	0.00054	0.47619	0	0.0952381	0.428571	0.8925
610	2	1.78713	0.582895	0.000563	1	0	0	0	0.807381
620	2	1.55603	0.322368	0.000489	0.8	0	0	0.2	0.836786
630	2	1.32721	0.221053	0.000502	0.571429	0	0	0.428571	0.983333
640	2	1.32721	0.415789	0.000478	1	0	0	0	0.92631
650	1	0.9025	0.263158	0.000458	0.869565	0	0.0434783	0.0869565	0.961905
660	2	1.10061	0.338158	0.000454	0.869565	0	0	0.130435	0.973214
670	3	1.62613	0.690132	0.000606	1	0	0	0	0.68631
680	2	1.10061	0.675	0.000554	0.952381	0	0	0.047619	0.745774
690	2	1.55603	0.527632	0.000587	0.833333	0	0	0.166667	0.75631
700	2	1.55603	0.767105	0.000621	0.909091	0	0	0.0909091	0.644444
