Generation number	Allele number	Frequency	Activity
0	-3	0	0.999471
0	0	1	0.999478
10	-3	0	0.994426
10	0	1	0.994184
20	-3	0	0.990043
20	0	0.993997	0.989075
20	4	0.00350175	0.99904
20	5	0.002001	0.999488
20	6	0.00050025	1
30	-3	0	0.985676
30	0	0.991496	0.983925
30	5	0.00550275	0.994755
30	7	0.0030015	0.99535
40	-3	0	0.979971
40	0	0.997499	0.978855
40	7	0.00250125	0.990563
50	-3	0	0.97532
50	0	0.983992	0.973538
50	7	0.016008	0.986255
60	-3	0	0.970976
60	0	0.988494	0.967811
60	7	0.0115058	0.98099
70	-3	0	0.966862
70	0	0.989495	0.961965
70	7	0.00950475	0.976179
70	13	0.0010005	0.99598
80	-3	0	0.961709
80	0	0.988494	0.95593
80	7	0.0115058	0.970845
90	-3	0	0.95539
90	0	0.990495	0.948975
90	7	0.00850425	0.9657
90	20	0.0010005	0.998504
100	-3	0	0.950795
100	0	0.973487	0.943293
100	7	0.0250125	0.961779
100	22	0.00050025	1
100	23	0.0010005	1
110	-3	0	0.946418
110	0	0.955978	0.937459
110	7	0.04002	0.956794
110	23	0.004002	0.995191
120	-3	0	0.942671
120	0	0.952976	0.930216
120	7	0.0365183	0.952714
120	23	0.00950475	0.990885
120	26	0.0010005	0.995773
130	-3	0	0.937456
130	0	0.950475	0.924871
130	7	0.0365183	0.948651
130	23	0.0125063	0.98669
130	29	0.00050025	0.9995
140	-3	0	0.932188
140	0	0.945973	0.9205
140	7	0.0390195	0.944003
140	23	0.0125063	0.982096
140	29	0.0010005	0.994464
140	33	0.00150075	0.999515
150	-3	0	0.92666
150	0	0.93997	0.913473
150	7	0.0535268	0.938837
150	23	0.00550275	0.977595
150	35	0.0010005	0.999509
160	-3	0	0.923041
160	0	0.936468	0.905106
160	7	0.0495248	0.933501
160	23	0.014007	0.972551
170	-3	0	0.919268
170	0	0.931466	0.898988
170	7	0.0525263	0.928051
170	23	0.016008	0.967695
180	-3	0	0.915912
180	0	0.94097	0.88988
180	7	0.0375188	0.924351
180	23	0.0195098	0.963035
180	41	0.002001	0.998448
190	-3	0	0.911665
190	0	0.938469	0.883286
190	7	0.0370185	0.918735
190	23	0.0155078	0.957428
190	41	0.00650325	0.993299
190	44	0.002001	0.99648
190	45	0.00050025	0.998974
200	-3	0	0.908079
200	0	0.934967	0.875902
200	7	0.054027	0.914104
200	23	0.010005	0.9526
200	41	0.0010005	0.988369
210	-3	0	0.903131
210	0	0.93997	0.86905
210	7	0.0330165	0.908564
210	23	0.0225113	0.947234
210	41	0.00450225	0.98369
220	-3	0	0.900181
220	0	0.927464	0.86099
220	7	0.0330165	0.903945
220	23	0.0275138	0.943086
220	41	0.0115058	0.978248
220	52	0.00050025	0.999504
230	-3	0	0.896431
230	0	0.91996	0.851064
230	7	0.0355178	0.898465
230	23	0.02001	0.938898
230	41	0.0230115	0.973991
230	55	0.00150075	0.99949
240	-3	0	0.892234
240	0	0.934467	0.842397
240	7	0.030015	0.894656
240	23	0.018009	0.934531
240	41	0.0165083	0.970381
240	55	0.0010005	0.994098
250	-3	0	0.887112
250	0	0.943972	0.834778
250	7	0.0225113	0.889544
250	23	0.0170085	0.928811
250	41	0.0165083	0.965876
260	-3	0	0.883351
260	0	0.922461	0.827903
260	7	0.0330165	0.886128
260	23	0.0110055	0.925052
260	41	0.0285143	0.960811
260	59	0.00350175	0.99534
260	61	0.00150075	0.998561
270	-3	0	0.880224
270	0	0.943472	0.819529
270	7	0.0265133	0.881002
270	23	0.00550275	0.921142
270	41	0.018009	0.954659
270	59	0.00550275	0.989766
270	63	0.0010005	1
280	-3	0	0.879092
280	0	0.942971	0.80695
280	7	0.0365183	0.878291
280	23	0.00150075	0.916097
280	41	0.014007	0.949435
280	59	0.0050025	0.984449
290	-3	0	0.876995
290	0	0.945973	0.800901
290	7	0.0350175	0.873471
290	23	0.002001	0.910624
290	41	0.0170085	0.944721
300	-3	0	0.872261
300	0	0.968484	0.792451
300	7	0.0175088	0.868183
300	23	0.00350175	0.908649
