Generation number	Allele number	Frequency	Activity
0	-3	0.99999	1.99825e-05
0	0	1	0.999994
10	-3	0.999874	0.000251744
10	0	0.9995	0.999886
10	1	0.00050025	0.999885
20	-3	0.999713	0.000570867
20	0	1	0.999784
30	-3	0.999692	0.000609462
30	0	0.996998	0.99961
30	4	0.0030015	0.99999
40	-3	0.999564	0.000859781
40	0	0.994497	0.999351
40	4	0.00550275	0.999871
50	-3	0.999426	0.00112592
50	0	0.981491	0.999141
50	4	0.0185093	0.999756
60	-3	0.999241	0.00148779
60	0	0.956478	0.9988
60	4	0.0435218	0.99964
70	-3	0.999066	0.00182502
70	0	0.942471	0.998948
70	4	0.0575288	0.999594
80	-3	0.998955	0.00202369
80	0	0.952976	0.99878
80	4	0.0430215	0.999364
80	16	0.00050025	0.999946
80	17	0.00250125	0.999984
80	18	0.0010005	1
90	-3	0.998811	0.00228461
90	0	0.933467	0.998555
90	4	0.0635318	0.999173
90	17	0.002001	0.999906
90	19	0.00050025	0.999976
90	20	0.00050025	0.999988
100	-3	0.998915	0.00208519
100	0	0.902951	0.998216
100	4	0.0870435	0.999024
100	19	0.0090045	0.999876
100	21	0.0010005	0.999995
110	-3	0.998804	0.0022736
110	0	0.883442	0.998023
110	4	0.106053	0.998834
110	19	0.010005	0.99969
110	23	0.00050025	1
120	-3	0.998544	0.00269733
120	0	0.881941	0.997856
120	4	0.112556	0.998543
120	19	0.00550275	0.999485
130	-3	0.998289	0.00321472
130	0	0.889445	0.997814
130	4	0.110555	0.998493
140	-3	0.99818	0.00346642
140	0	0.886443	0.997335
140	4	0.111556	0.99807
140	26	0.00150075	0.999982
140	28	0.00050025	0.999993
150	-3	0.997925	0.0039711
150	0	0.869435	0.997104
150	4	0.130565	0.997941
160	-3	0.998059	0.00371561
160	0	0.921461	0.99715
160	4	0.076038	0.998054
160	33	0.0010005	0.999966
160	34	0.00150075	0.999985
170	-3	0.998151	0.00354455
170	0	0.947974	0.996715
170	4	0.0475238	0.998105
170	34	0.00150075	0.999883
170	37	0.0030015	0.999984
180	-3	0.997984	0.00389321
180	0	0.955978	0.996683
180	4	0.0415208	0.997796
180	37	0.00250125	0.999868
190	-3	0.9977	0.00440164
190	0	0.962481	0.996375
190	4	0.0375188	0.997784
200	-3	0.99772	0.00437971
200	0	0.957979	0.996165
200	4	0.042021	0.997609
210	-3	0.997661	0.00448378
210	0	0.944972	0.995874
210	4	0.0550275	0.997644
220	-3	0.997636	0.00452158
220	0	0.941971	0.995629
220	4	0.058029	0.997535
230	-3	0.997495	0.00478251
230	0	0.965983	0.995086
230	4	0.0335168	0.997458
230	44	0.00050025	0.999943
240	-3	0.997033	0.00560838
240	0	0.982991	0.994914
240	4	0.0170085	0.997588
250	-3	0.997005	0.00562601
250	0	0.992996	0.994709
250	4	0.0070035	0.99781
260	-3	0.997081	0.0054701
260	0	1	0.99465
270	-3	0.997064	0.00545999
270	0	0.9995	0.994226
270	50	0.00050025	0.999949
280	-3	0.997031	0.00554009
280	0	0.997499	0.993231
280	50	0.00250125	0.999819
290	-3	0.996479	0.00643515
290	0	1	0.992949
300	-3	0.996428	0.00647248
300	0	1	0.992718
310	-3	0.996334	0.00668544
310	0	1	0.992873
320	-3	0.996372	0.00657438
320	0	0.998999	0.992675
320	59	0.0010005	0.999986
330	-3	0.996163	0.006962
330	0	1	0.992345
340	-3	0.996294	0.00667853
340	0	1	0.992189
350	-3	0.996336	0.00666442
350	0	0.998499	0.99163
350	62	0.00150075	0.999985
360	-3	0.99643	0.00653704
360	0	0.996998	0.990859
360	62	0.0030015	0.999905
370	-3	0.996803	0.00594059
370	0	1	0.990986
380	-3	0.996715	0.00608622
380	0	0.996998	0.991008
380	65	0.00150075	0.999969
380	66	0.00150075	0.99999
390	-3	0.996806	0.00587959
390	0	1	0.990946
