Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	1	1.51443	0.94697	0.0402462	0.00142045	0.0113636
10	3	1.00401	1	1.49267	0.95057	0.0370722	0.00427757	0.00807985
20	2	1.00401	1	1.4542	0.954198	0.0362595	0.000954198	0.00858779
30	2	1.001	1	1.42505	0.950119	0.0384798	0.00190024	0.00950119
40	2	1.001	1	1.43209	0.942507	0.0485391	0.00235627	0.00659755
50	1	1	1	1.44793	0.940291	0.045134	0.00282087	0.0117536
60	1	1	1	1.43162	0.942507	0.0433553	0.00424128	0.00989632
70	1	1	1	1.42833	0.945626	0.0411348	0.00330969	0.00992908
80	1	1	1	1.42261	0.951475	0.0366318	0.0038059	0.00808754
90	1	1	1	1.42569	0.948317	0.0417259	0.00189663	0.00806069
100	1	1	1	1.45425	0.944287	0.0415486	0.00472144	0.00944287
110	1	1	1	1.43087	0.943841	0.0457763	0.000943841	0.00943841
120	1	1	1	1.43456	0.953743	0.0348116	0.00238436	0.00906056
130	1	1	1	1.4302	0.94697	0.0407197	0.00473485	0.00757576
140	2	1.001	1	1.44378	0.935891	0.0472625	0.00421151	0.0126345
150	3	1.00905	1	1.43673	0.94697	0.0392992	0.00189394	0.0118371
160	2	1.002	1	1.42347	0.95057	0.0370722	0.00380228	0.00855513
170	3	1.0121	1	1.43497	0.948767	0.0422201	0.000948767	0.00806452
180	3	1.01108	1	1.43758	0.945626	0.0449173	0.000945626	0.00851064
190	3	1.00804	1	1.43851	0.951928	0.0356973	0.00190386	0.0104712
200	2	1.002	1	1.42746	0.946522	0.0440133	0.00331283	0.00615239
210	1	1	1	1.42585	0.947867	0.0412322	0.00331754	0.00758294
220	1	1	1	1.44139	0.946522	0.0411737	0.00425935	0.00804543
230	1	1	1	1.54126	0.95511	0.0315186	0.00095511	0.0124164
240	2	1.00301	1	1.45956	0.940734	0.0428034	0.00470367	0.0117592
250	3	1.00502	1	1.42265	0.950119	0.0337292	0.00427553	0.0118765
260	4	1.01516	1	1.43208	0.948317	0.0431484	0.00284495	0.0056899
270	3	1.00905	1	1.42027	0.953743	0.0400572	0.00190749	0.00429185
280	2	1.00804	1	1.44674	0.942063	0.0480452	0.00141309	0.00847857
290	1	1	1	1.4203	0.94697	0.0435606	0.00236742	0.00710227
300	2	1.002	1	1.431	0.940291	0.045134	0.00282087	0.0117536
310	3	1.01209	1	1.41796	0.949668	0.0389364	0.00332384	0.00807217
320	5	1.01007	0.999991	1.41441	0.953289	0.0367016	0.00285987	0.00714967
330	2	1.00905	0.999991	1.41814	0.948317	0.0407776	0.00284495	0.00806069
340	2	1.00502	0.999984	1.41105	0.949217	0.043664	0.000949217	0.00616991
350	3	1.03257	0.999994	1.44822	0.944287	0.0434372	0.00472144	0.0075543
360	4	1.0223	1	1.44491	0.943841	0.0481359	0.00188768	0.00613497
370	4	1.0131	1	1.44317	0.942063	0.0485163	0.00141309	0.00800754
380	3	1.03361	1	1.43514	0.94518	0.0439509	0.00236295	0.00850662
390	3	1.02945	0.999998	1.43577	0.951928	0.0385531	0.00285578	0.00666349
400	3	1.0807	1	1.47778	0.953289	0.0352717	0.00238322	0.00905624
410	3	1.06662	0.999998	1.46298	0.956938	0.0320574	0.00287081	0.00813397
420	4	1.05374	1	1.45686	0.946522	0.0421202	0.0023663	0.00899195
430	4	1.06123	1	1.45957	0.944733	0.0462919	0.000472367	0.0085026
440	4	1.07301	1	1.47005	0.946522	0.0411737	0.00331283	0.00899195
450	3	1.03361	1	1.44314	0.953743	0.0357654	0.00286123	0.00762995
460	3	1.02536	1	1.42942	0.948317	0.0393551	0.00284495	0.00948317
470	3	1.04084	1	1.4613	0.95057	0.0389734	0.000475285	0.00998099
480	2	1.0346	1	1.42904	0.956938	0.0354067	0.00143541	0.0062201
490	2	1.03667	1	1.45904	0.948317	0.0431484	0.00189663	0.00663822
500	2	1.02021	1	1.43257	0.944287	0.0396601	0.00472144	0.0113314
510	2	1.02328	1	1.42463	0.955566	0.0353559	0.0028667	0.00621118
520	2	1.04708	1	1.44039	0.954198	0.0376908	0.00333969	0.00477099
530	3	1.03774	1	1.44363	0.948767	0.0379507	0.00332068	0.00996205
540	3	1.02022	1	1.42467	0.95057	0.0394487	0.00285171	0.00712928
550	4	1.06684	1	1.45702	0.951928	0.0404569	0.00190386	0.00571157
560	6	1.07878	1	1.49444	0.94697	0.0435606	0.00284091	0.00662879
570	3	1.05899	1	1.47366	0.94697	0.0388258	0.00331439	0.0108902
580	3	1.04194	1	1.46741	0.949668	0.0379867	0.00189934	0.0104463
590	3	1.05042	1	1.45159	0.953743	0.0348116	0.00238436	0.00906056
600	2	1.01919	1	1.42575	0.94518	0.044896	0.00094518	0.00897921
610	3	1.03259	1	1.44104	0.943841	0.0438886	0.0023596	0.00991034
620	4	1.03883	1	1.47833	0.935016	0.0504909	0.00374007	0.0107527
630	5	1.0409	1	1.44994	0.94697	0.0426136	0.00284091	0.00757576
640	2	1.05548	1	1.46474	0.944287	0.0415486	0.00188857	0.0122757
650	3	1.04297	1	1.43862	0.951475	0.0394862	0.00142721	0.0076118
660	2	1.03356	1	1.44507	0.943396	0.045283	0.00235849	0.00896226
670	3	1.0985	1	1.49811	0.946074	0.0397351	0.00283822	0.0113529
680	4	1.10538	1	1.50808	0.948767	0.0374763	0.00332068	0.0104364
690	4	1.16321	1	1.54959	0.946074	0.0416272	0.00236518	0.00993377
700	4	1.14659	1	1.52354	0.953289	0.0367016	0.00142993	0.0085796
710	4	1.10459	1	1.48394	0.949668	0.0365622	0.00332384	0.0104463
720	6	1.15558	1	1.52466	0.947867	0.0374408	0.00236967	0.0123223
730	6	1.25377	1	1.59312	0.94518	0.0458412	0.00141777	0.00756144
740	6	1.18005	1	1.55072	0.956938	0.0339713	0.00239234	0.00669856
750	6	1.23808	1	1.58809	0.95057	0.0327947	0.00475285	0.0118821
760	5	1.25055	1	1.60123	0.944287	0.0439093	0.00424929	0.0075543
770	5	1.21899	1	1.59733	0.94697	0.0355114	0.00568182	0.0118371
780	5	1.17951	1	1.5407	0.958773	0.0287632	0.0033557	0.00910834
790	5	1.15979	1	1.54981	0.948317	0.0379327	0.00189663	0.011854
800	6	1.15655	1	1.543	0.953743	0.033381	0.000953743	0.0119218
810	6	1.12773	1	1.51421	0.951928	0.0376011	0.000951928	0.00951928
820	5	1.19935	1	1.56727	0.946074	0.0359508	0.00425733	0.0137181
830	4	1.20502	1	1.57765	0.947418	0.0378967	0.00189484	0.0127901
840	4	1.24401	1	1.60563	0.956938	0.0301435	0.00191388	0.0110048
850	3	1.20827	1	1.583	0.948767	0.0398482	0.000948767	0.0104364
860	3	1.12493	1	1.51554	0.949668	0.0360874	0.002849	0.011396
870	3	1.10221	0.999999	1.52291	0.943841	0.0443605	0.00141576	0.0103823
880	6	1.16312	1	1.572	0.948767	0.0379507	0.00189753	0.0113852
890	6	1.2212	1	1.58429	0.950119	0.0413302	0.00190024	0.00665083
900	2	1.32863	1	1.64371	0.95057	0.0370722	0.00190114	0.0104563
910	5	1.52041	1	1.74399	0.957396	0.0287219	0.00191479	0.0119674
920	4	1.47692	1	1.70184	0.957396	0.0272858	0.00191479	0.0134035
930	2	1.50333	1	1.73541	0.941176	0.0414118	0.00235294	0.0150588
940	2	1.45658	0.99999	1.7394	0.944733	0.0377893	0.0028342	0.0146434
950	3	1.43015	0.999998	1.70637	0.951475	0.0356803	0.00190295	0.010942
960	4	1.44674	1	1.71783	0.95057	0.0370722	0.00285171	0.0095057
970	5	1.51751	1	1.74263	0.949217	0.0370195	0.00189843	0.0118652
980	4	1.44263	1	1.70231	0.94697	0.0397727	0.00284091	0.0104167
990	4	1.42239	1	1.70982	0.950119	0.0365796	0.000950119	0.0123515
1000	4	1.56484	1	1.7357	0.951475	0.0333016	0.00285442	0.0123692
1010	5	1.58532	1	1.78643	0.944733	0.0382617	0.00330657	0.0136986
1020	5	1.60602	0.999999	1.79757	0.949217	0.0332226	0.00284765	0.0147129
1030	4	1.51607	1	1.72654	0.962001	0.027898	0.001924	0.00817701
1040	3	1.59726	1	1.78805	0.954654	0.0324582	0.000954654	0.0119332
1050	3	1.6805	1	1.7998	0.949217	0.0379687	0.00189843	0.010916
1060	3	1.85738	1	1.86228	0.956023	0.0282027	0.00286807	0.0129063
1070	4	2.06135	1	1.90227	0.954198	0.0262405	0.0014313	0.0181298
1080	5	1.9871	1	1.88861	0.943396	0.034434	0.00566038	0.0165094
1090	5	2.08737	1	1.9352	0.950119	0.0337292	0.000950119	0.0152019
1100	4	1.95791	1	1.90234	0.954198	0.0324427	0.0014313	0.0119275
1110	4	2.07478	1	1.92428	0.951022	0.0332858	0.00142653	0.0142653
1120	4	2.08094	1	1.91189	0.949217	0.0360702	0.00284765	0.0118652
1130	4	1.9858	1	1.89083	0.94697	0.0307765	0.00284091	0.0194129
1140	4	2.03366	1	1.93921	0.947418	0.0317385	0.00142113	0.0194221
1150	5	1.96882	1	1.91784	0.94518	0.0378072	0.00236295	0.0146503
1160	5	1.99611	1	1.94782	0.952835	0.0300143	0.00142925	0.0157218
1170	2	1.97837	1	1.86615	0.956938	0.0296651	0.000956938	0.0124402
1180	3	1.98517	1	1.85948	0.955566	0.0291448	0.00191113	0.0133779
1190	2	1.9945	1	1.9097	0.951022	0.0332858	0.000475511	0.0152164
1200	2	1.98774	1	1.8726	0.956938	0.0291866	0.00334928	0.0105263
1210	3	2.00155	1	1.90282	0.954654	0.0310263	0.000954654	0.0133652
1220	2	1.99849	1	1.87989	0.956938	0.0253589	0.00287081	0.0148325
1230	2	1.97274	1	1.88043	0.94697	0.0359848	0.00142045	0.015625
1240	2	1.9585	1	1.86428	0.954654	0.0334129	0.00190931	0.0100239
