Generation number,Total number of allele,Diversity,Activity,Time,Fertility rate,2 DSB on one site rate,No DSB rate,No symmetrical sites (binding + DSB) rate,,"0,955004268999998"
0,1,1,1,"1,48779","0,951475","0,0385347","0,00237869","0,0076118",,
10,1,1,"0,999991","1,48716","0,947867","0,0407583","0,0042654","0,007109",,"1065,25"
20,1,1,"0,999986","1,52382","0,95057","0,0380228","0,00380228","0,00760456",,
30,2,"1,00301","0,999985","1,52052","0,949217","0,0403417","0,00427148","0,00616991",,
40,1,1,"0,999991","1,5519","0,951022","0,0389919","0,00285307","0,00713267",,
50,1,1,"0,999993","1,71272","0,951022","0,0399429","0,000951022","0,00808369",,
60,2,1002,1,"1,55724","0,957854","0,0359195","0,00143678","0,00478927",,
70,1,1,1,"1,56691","0,947867","0,0436019","0,000947867","0,00758294",,
80,1,1,1,"1,55155","0,960154","0,0321651","0,00240038","0,00528084",,
90,3,"1,00703",1,"1,56032","0,953743","0,0419647","0,000476872","0,00381497",,
100,2,"1,01309",1,"1,56785","0,951928","0,0356973","0,00237982","0,00999524",,
110,2,"1,00905",1,"1,57835","0,946074","0,0416272","0,00236518","0,00993377",,
120,4,"1,01924",1,"1,57632","0,95511","0,0339064","0,00286533","0,00811843",,
130,2,"1,01411",1,"1,56741","0,951475","0,0366318","0,00190295","0,00999049",,
140,2,"1,00401",1,"1,56312","0,956938","0,0363636","0,00239234","0,00430622",,
150,3,"1,00804",1,"1,56746","0,953743","0,033381","0,00143062","0,0114449",,
160,1,1,1,"1,57448","0,955566","0,0367893","0,000477783","0,00716675",,
170,1,1,1,"1,5679","0,93985","0,0469925","0,0018797","0,0112782",,
180,1,1,"0,999993","1,56996","0,943841","0,0438886","0,00377537","0,00849457",,
190,3,1002,1,"1,57254","0,952835","0,037637","0,00238209","0,00714626",,
200,1,1,"0,999994","1,55897","0,951022","0,0404184","0,00190204","0,00665716",,
210,1,1,"0,999998","1,54809","0,961076","0,0326766","0,00192215","0,00432484",,
