Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	2	1.002	0.999553	1.47215	0.950119	0.0413302	0.000950119	0.00760095	0.00960788
10	2	1.002	0.99398	1.45201	0.938527	0.0525575	0.00234632	0.00656969	0.00948456
20	2	1.00602	0.98888	1.4093	0.960154	0.0316851	0.00288046	0.00528084	0.00957496
30	4	1.01514	0.984281	1.44273	0.937207	0.0510778	0.000937207	0.0107779	0.00950853
40	2	1.01309	0.978843	1.48018	0.947418	0.0416864	0.00331596	0.00757935	0.00956271
50	3	1.00502	0.973033	1.46179	0.941176	0.0451765	0.00470588	0.00894118	0.00960581
60	2	1.001	0.966827	1.49125	0.943396	0.0448113	0.00235849	0.00943396	0.00961304
70	1	1	0.961831	1.41302	0.938086	0.0483114	0.00187617	0.0117261	0.00962193
80	1	1	0.955562	1.45157	0.947867	0.0379147	0.0028436	0.0113744	0.00964859
90	1	1	0.949173	1.45023	0.942951	0.0447902	0.0018859	0.0103725	0.00959316
100	2	1.001	0.942346	1.46041	0.943841	0.0401133	0.00188768	0.0141576	0.00951191
110	2	1.002	0.936236	1.49641	0.942063	0.0428639	0.00235516	0.0127179	0.00956001
120	2	1.001	0.930197	1.44419	0.946522	0.0388074	0.000946522	0.0137246	0.00971051
130	1	1	0.923216	1.44995	0.938527	0.0441107	0.00234632	0.0150164	0.00950046
140	3	1.00301	0.917468	1.45371	0.944733	0.0429854	0.00188947	0.0103921	0.00940735
150	2	1.002	0.910068	1.42842	0.937207	0.0468604	0.00234302	0.0135895	0.00972358
160	2	1.001	0.903121	1.46497	0.941176	0.0428235	0.00188235	0.0141176	0.00976445
170	1	1	0.896362	1.41798	0.951022	0.0351878	0.00142653	0.0123633	0.00955317
180	3	1.00301	0.890556	1.4765	0.93633	0.0444757	0.00374532	0.0154494	0.00964602
190	2	1.00401	0.882928	1.53979	0.937207	0.0426429	0.00281162	0.0173383	0.0097257
