Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	0.999458	1.48658	0.99108	0	0.00297324	0.00594648	1.07726
10	3	1.01411	0.99429	1.50601	0.98912	0	0.0024728	0.00840752	1.072
20	3	1.0131	0.988898	1.59971	0.990099	0	0.0029703	0.00693069	1.07637
30	3	1.01513	0.98332	1.58475	0.990589	0	0.00297177	0.00643883	1.078
40	4	1.01311	0.977663	2.25712	0.985222	0	0.00394089	0.0108374	1.07572
50	2	1.01309	0.971865	1.91217	0.99108	0	0.00198216	0.00693756	1.06158
60	2	1.00401	0.96553	1.76582	0.98668	0	0.00098668	0.0123335	1.05306
70	2	1.00602	0.959817	1.64791	0.992556	0	0.00198511	0.00545906	1.04843
80	3	1.002	0.953073	1.59167	0.981836	0	0.00343643	0.0147275	1.02944
90	1	1	0.947276	1.52562	0.983768	0	0.0029513	0.0132809	1.03088
100	2	1.01208	0.941907	1.55384	0.979912	0	0.000979912	0.0191083	1.0231
110	2	1.02225	0.93557	1.5396	0.985707	0	0.000985707	0.013307	1.01329
120	3	1.03153	0.929978	1.55461	0.985707	0	0.00197141	0.0123213	0.994407
130	4	1.07739	0.925829	1.6139	0.983284	0	0.00393314	0.0127827	1.0089
140	4	1.05909	0.917418	1.58667	0.982318	0	0.00294695	0.0147348	0.997371
150	4	1.10583	0.912245	1.61986	0.981354	0	0.00343474	0.015211	0.989339
160	4	1.15372	0.907467	1.71305	0.981354	0	0.00343474	0.015211	0.977605
170	4	1.1203	0.899613	1.58562	0.984252	0	0.00295276	0.0127953	0.973016
180	3	1.13627	0.891901	1.57734	0.983768	0	0.00196754	0.0142646	0.945854
190	3	1.12281	0.885127	1.53992	0.980392	0	0.00245098	0.0171569	0.960277
200	3	1.1705	0.87826	1.59855	0.976562	0	0.00292969	0.0205078	0.941942
210	3	1.11288	0.867535	1.56698	0.977995	0	0.00195599	0.0200489	0.936178
220	2	1.10833	0.861742	1.52987	0.980873	0	0.000980873	0.0181462	0.948388
230	3	1.18454	0.857343	1.60763	0.974659	0	0.00341131	0.0219298	0.949054
240	2	1.16348	0.847465	1.58278	0.978953	0	0.00195791	0.0190896	0.910698
250	3	1.22961	0.841989	1.6173	0.976562	0	0.00195312	0.0214844	0.90987
260	4	1.27234	0.836478	1.64864	0.977517	0	0.00342131	0.0190616	0.896173
270	2	1.31735	0.830329	1.64745	0.97704	0	0.00195408	0.0210064	0.9029
280	2	1.27279	0.821544	1.62058	0.97371	0	0.00389484	0.0223953	0.892069
290	2	1.36146	0.817088	1.71809	0.964785	0	0.00434153	0.0308731	0.912847
300	3	1.40912	0.809349	1.7344	0.972763	0	0.000486381	0.026751	0.887379
310	2	1.42036	0.802001	1.69671	0.970403	0	0.00339641	0.0262009	0.879321
320	2	1.55653	0.802513	1.77466	0.971345	0	0.00194269	0.026712	0.875308
330	3	1.53113	0.791001	1.73655	0.971345	0	0.00145702	0.0271977	0.8715
340	2	1.52542	0.784119	1.73944	0.968992	0	0.00339147	0.0276163	0.861325
350	2	1.5371	0.777735	1.76506	0.968054	0	0.00242014	0.0295257	0.832164
360	3	1.55061	0.771087	1.71341	0.966651	0	0.00241663	0.0309328	0.852499
370	2	1.67471	0.771417	1.77458	0.971817	0	0.000485909	0.0276968	0.854211
380	2	1.72092	0.767	1.78194	0.967586	0	0.00241896	0.0299952	0.858252
390	3	1.87813	0.770096	1.77005	0.967118	0	0.00241779	0.0304642	0.856066
400	3	1.92336	0.765304	1.88346	0.965717	0	0.00193143	0.0323515	0.844916
410	2	1.95214	0.762312	1.8407	0.958313	0	0.00383325	0.0378534	0.822241
420	2	1.98409	0.758662	1.78418	0.971817	0	0.00291545	0.0252672	0.849023
430	3	1.99753	0.752775	1.87921	0.967586	0	0.00241896	0.0299952	0.841996
440	6	1.99534	0.757342	1.87897	0.967586	0	0.000967586	0.0314465	0.845226
450	3	1.90428	0.759177	1.83347	0.97561	0	0.00195122	0.022439	0.855646
460	2	1.85782	0.755945	1.81307	0.967118	0	0.00386847	0.0290135	0.85443
470	2	1.69193	0.757578	1.69835	0.967586	0	0.00338655	0.0290276	0.851081
480	3	1.72388	0.746981	1.70386	0.968054	0	0.00242014	0.0295257	0.8465
490	2	1.82294	0.732469	1.76584	0.963855	0	0.00192771	0.0342169	0.840487
500	2	1.83319	0.725353	1.68244	0.973236	0	0.000973236	0.0257908	0.839279
510	3	1.77866	0.71967	1.69452	0.968054	0	0.00145208	0.0304937	0.827589
520	4	1.69106	0.716732	1.72026	0.958773	0	0.00191755	0.0393097	0.829013
530	4	1.63591	0.712735	1.64889	0.956938	0	0.00382775	0.0392344	0.811367
540	6	1.54341	0.708193	1.58327	0.965251	0	0.003861	0.030888	0.81407
550	5	1.55381	0.70099	1.62132	0.964785	0	0.00192957	0.0332851	0.818664
560	4	1.48947	0.692523	1.54173	0.959693	0	0.00383877	0.0364683	0.803844
570	5	1.38849	0.688127	1.48966	0.965251	0	0.00241313	0.0323359	0.791362
580	6	1.32153	0.680434	1.46659	0.957396	0	0.00239349	0.0402106	0.779809
590	5	1.41625	0.676816	1.50565	0.960615	0	0.00336215	0.0360231	0.780633
600	5	1.4728	0.67522	1.50409	0.961538	0	0.00336538	0.0350962	0.808036
610	6	1.39866	0.663545	1.46823	0.971817	0	0.00242954	0.0257532	0.791739
620	4	1.24102	0.651346	1.38131	0.962464	0	0.00192493	0.0356112	0.772213
630	4	1.22754	0.642906	1.35331	0.95057	0	0.00190114	0.0475285	0.754351
640	3	1.26942	0.636257	1.37865	0.954198	0	0.00429389	0.0415076	0.760032
650	4	1.2556	0.624221	1.36517	0.951475	0	0.00142721	0.047098	0.750638
660	7	1.34464	0.62457	1.39653	0.951928	0	0.00237982	0.0456925	0.744296
670	7	1.38764	0.616545	1.44096	0.946074	0	0.00283822	0.051088	0.748491
680	5	1.54206	0.623217	1.54141	0.947418	0	0.00142113	0.0511606	0.735949
690	7	1.69533	0.62348	1.57741	0.93985	0	0.00328947	0.0568609	0.752295
700	6	1.92036	0.640376	1.73264	0.935891	0	0.00233973	0.0617688	0.777791
710	6	1.96526	0.645869	1.69288	0.948767	0	0.00379507	0.0474383	0.77713
720	7	2.36815	0.656172	1.81029	0.95511	0	0.00191022	0.0429799	0.803733
730	6	3.00591	0.692474	1.95635	0.963391	0	0.00240848	0.0342004	0.851952
740	8	3.40182	0.708767	1.99477	0.965717	0	0.000965717	0.0333172	0.872355
750	9	3.60605	0.726949	2.01346	0.969462	0	0.00290839	0.0276297	0.888882
760	7	4.24037	0.770839	2.13347	0.974184	0	0.00389674	0.0219191	0.927103
770	8	4.55491	0.778868	2.16437	0.97229	0	0.00243072	0.0252795	0.944854
780	7	4.86385	0.802151	2.22293	0.978474	0	0.00146771	0.0200587	0.95056
790	8	5.29793	0.812652	2.28444	0.976086	0	0.0034163	0.0204978	0.950469
800	9	5.00657	0.829846	2.33243	0.97561	0	0.00146341	0.0229268	0.974178
810	10	5.21077	0.845263	2.32469	0.97561	0	0.00390244	0.0204878	0.982464
820	9	5.20507	0.852786	2.36748	0.984252	0	0.0019685	0.0137795	0.98695
830	9	5.60717	0.857683	2.38219	0.983768	0	0.00196754	0.0142646	0.987846
840	7	5.44325	0.847563	2.34132	0.979432	0	0.0029383	0.0176298	0.979938
850	7	4.90658	0.852424	2.3441	0.983284	0	0.00147493	0.0152409	0.99398
860	7	4.47033	0.859162	2.30124	0.978953	0	0.00293686	0.0181106	0.97491
870	9	4.27189	0.864228	2.35013	0.981354	0	0.00147203	0.0171737	1.00784
880	7	4.28525	0.858913	2.29021	0.981354	0	0.00343474	0.015211	0.979137
890	8	4.92323	0.842823	2.27499	0.980873	0	0.00196175	0.0171653	0.964112
900	8	5.42216	0.830943	2.33925	0.981354	0	0.00294406	0.0157017	0.955324
910	7	4.69155	0.843809	2.36888	0.980392	0	0.00245098	0.0171569	0.963944
920	7	4.43834	0.848989	2.30916	0.978953	0	0.00146843	0.0195791	0.981345
930	6	4.26962	0.844114	2.27635	0.980392	0	0.00441176	0.0151961	0.96581
940	6	4.0661	0.836581	2.25069	0.977995	0	0.00146699	0.0205379	0.959794
950	7	3.73815	0.836818	2.25997	0.983284	0	0.00196657	0.0147493	0.953343
960	7	3.62418	0.832761	2.21871	0.981354	0	0.00147203	0.0171737	0.944306
970	7	3.77688	0.827041	2.26773	0.980873	0	0.00294262	0.0161844	0.954568
980	6	3.99019	0.823581	2.27429	0.980392	0	0.00245098	0.0171569	0.944781
990	6	3.6727	0.815392	2.21739	0.97229	0	0.00388916	0.0238211	0.951529
1000	9	3.73177	0.812366	2.24473	0.976086	0	0.000976086	0.022938	0.934664
1010	10	3.33978	0.81628	2.21058	0.983284	0	0.00294985	0.013766	0.921381
1020	9	3.58275	0.812112	2.20106	0.976562	0	0.00341797	0.0200195	0.914232
1030	8	3.71482	0.803833	2.22615	0.974659	0	0.00292398	0.0224172	0.930671
1040	8	4.53718	0.797461	2.2906	0.978953	0	0.00195791	0.0190896	0.917079
1050	9	4.56995	0.809513	2.289	0.975134	0	0.00390054	0.0209654	0.917308
1060	8	4.64135	0.811876	2.3011	0.977517	0	0.00244379	0.0200391	0.928019
1070	9	4.7241	0.808784	2.24452	0.974659	0	0.00194932	0.0233918	0.898483
1080	7	4.84679	0.815565	2.30609	0.979432	0	0.000979432	0.0195886	0.918377
1090	8	5.43419	0.81058	2.30424	0.980392	0	0.00196078	0.0176471	0.926499
1100	9	5.37381	0.809391	2.31881	0.978953	0	0.00146843	0.0195791	0.927039
1110	7	5.98238	0.805478	2.32731	0.978953	0	0.00195791	0.0190896	0.918573
1120	7	5.72554	0.80739	2.34543	0.973236	0	0.00145985	0.0253041	0.920931
1130	7	5.99359	0.811028	2.35652	0.975134	0	0.0029254	0.0219405	0.92242
1140	7	5.7291	0.807253	2.3088	0.977995	0	0.00342298	0.0185819	0.910642
1150	7	5.31723	0.808742	2.33205	0.968523	0	0.00145278	0.0300242	0.934164
1160	8	5.10931	0.807866	2.34665	0.976562	0	0.00146484	0.0219727	0.900375
1170	7	5.19514	0.788693	2.34985	0.969462	0	0.00290839	0.0276297	0.898798
1180	7	4.94845	0.774027	2.20396	0.97229	0	0.00291687	0.0247934	0.889811
1190	7	5.35554	0.773477	2.31779	0.968992	0	0.00290698	0.0281008	0.906547
1200	9	5.33208	0.774526	2.24231	0.970403	0	0.00291121	0.0266861	0.883805
1210	9	5.26646	0.768819	2.28922	0.972763	0	0.00194553	0.0252918	0.900449
1220	9	5.30933	0.765146	2.24724	0.974184	0	0.00389674	0.0219191	0.87372
1230	7	5.40034	0.753706	2.2129	0.973236	0	0.00291971	0.0238443	0.865162
1240	7	4.89201	0.743882	2.14109	0.967586	0	0.00193517	0.030479	0.868077
1250	8	5.0615	0.745611	2.18708	0.969932	0	0.00387973	0.0261882	0.855214
1260	8	4.9376	0.733393	2.1086	0.970403	0	0.00194081	0.0276565	0.86699
1270	8	4.77591	0.724774	2.14551	0.962001	0	0.002886	0.035113	0.857277
1280	7	4.84701	0.725315	2.10563	0.972763	0	0.00243191	0.0248054	0.843493
1290	8	4.78467	0.718378	2.11822	0.969462	0	0.00193892	0.0285991	0.836525
1300	7	4.8574	0.704199	2.1163	0.960615	0	0.00384246	0.0355427	0.840872
1310	7	4.53457	0.703586	2.09822	0.965251	0	0.0019305	0.0328185	0.834785
1320	7	4.70777	0.701359	2.10424	0.967118	0	0.00435203	0.02853	0.829863
1330	6	4.80473	0.702737	2.03817	0.968054	0	0.00193611	0.0300097	0.843084
1340	6	4.98728	0.695486	2.06159	0.967586	0	0.00193517	0.030479	0.822449
1350	6	4.78672	0.689983	2.03064	0.96432	0	0.00192864	0.0337512	0.813706
1360	8	4.60423	0.693341	2.06831	0.96432	0	0.00192864	0.0337512	0.837638
1370	9	4.32826	0.689293	2.01165	0.959233	0	0.00479616	0.0359712	0.821869
1380	9	4.20926	0.687015	2.02974	0.961538	0	0.000961538	0.0375	0.818456
1390	9	4.08533	0.676849	1.96844	0.96432	0	0.00289296	0.0327869	0.816049
1400	9	3.93478	0.677348	1.95976	0.965717	0	0.00144858	0.0328344	0.809417
