Generation number	Allele number	Frequency	Activity
0	-3	0	0.999896
0	0	1	0.999893
10	-3	0	0.998985
10	0	1	0.998758
20	-3	0	0.99803
20	0	1	0.997413
30	-3	0	0.997101
30	0	1	0.996415
40	-3	0	0.995994
40	0	1	0.99509
50	-3	0	0.995075
50	0	1	0.99417
60	-3	0	0.99424
60	0	0.998499	0.993098
60	3	0.00050025	0.999905
60	4	0.0010005	1
70	-3	0	0.992909
70	0	1	0.991449
80	-3	0	0.991801
80	0	1	0.990316
90	-3	0	0.991426
90	0	1	0.988616
100	-3	0	0.989881
100	0	1	0.986503
110	-3	0	0.988764
110	0	1	0.984685
120	-3	0	0.987865
120	0	1	0.983508
130	-3	0	0.98719
130	0	1	0.982113
140	-3	0	0.98663
140	0	1	0.980101
150	-3	0	0.985501
150	0	0.998499	0.979284
150	8	0.00150075	0.999713
160	-3	0	0.984238
160	0	0.997999	0.978005
160	8	0.002001	0.998829
170	-3	0	0.983173
170	0	1	0.977045
180	-3	0	0.982769
180	0	1	0.974366
190	-3	0	0.980593
190	0	1	0.973333
200	-3	0	0.980244
200	0	1	0.970846
210	-3	0	0.979363
210	0	1	0.968703
220	-3	0	0.978691
220	0	1	0.967139
230	-3	0	0.976811
230	0	1	0.964559
240	-3	0	0.975571
240	0	1	0.962434
250	-3	0	0.974495
250	0	1	0.960803
260	-3	0	0.973995
260	0	1	0.958278
270	-3	0	0.973773
270	0	1	0.956246
280	-3	0	0.97227
280	0	1	0.95428
290	-3	0	0.97219
290	0	1	0.952086
300	-3	0	0.971476
300	0	1	0.949615
310	-3	0	0.970938
310	0	1	0.947641
320	-3	0	0.97036
320	0	1	0.944038
330	-3	0	0.970188
330	0	1	0.941706
340	-3	0	0.970138
340	0	1	0.940211
350	-3	0	0.969515
350	0	1	0.937788
360	-3	0	0.968278
360	0	1	0.935308
370	-3	0	0.967475
370	0	1	0.932455
380	-3	0	0.966463
380	0	1	0.928314
390	-3	0	0.965259
390	0	1	0.924986
400	-3	0	0.964218
400	0	1	0.922846
410	-3	0	0.962118
410	0	1	0.91996
420	-3	0	0.961296
420	0	1	0.91782
430	-3	0	0.960015
430	0	1	0.915758
440	-3	0	0.959654
440	0	1	0.911565
450	-3	0	0.958315
450	0	1	0.908105
460	-3	0	0.957323
460	0	0.9995	0.904734
460	14	0.00050025	1
470	-3	0	0.95606
470	0	1	0.90203
480	-3	0	0.956604
480	0	1	0.898145
490	-3	0	0.957029
490	0	1	0.896024
500	-3	0	0.957025
500	0	1	0.89308
510	-3	0	0.956644
510	0	1	0.888991
520	-3	0	0.955515
520	0	1	0.88487
530	-3	0	0.954649
530	0	1	0.88065
540	-3	0	0.953129
540	0	1	0.877161
550	-3	0	0.952936
550	0	1	0.872322
560	-3	0	0.952596
560	0	1	0.867153
570	-3	0	0.951905
570	0	1	0.862104
580	-3	0	0.949909
580	0	0.998999	0.859697
580	17	0.0010005	1
590	-3	0	0.949283
590	0	0.998499	0.85678
590	17	0.00150075	0.998989
600	-3	0	0.94816
600	0	1	0.852874
610	-3	0	0.948004
610	0	1	0.849249
620	-3	0	0.94686
620	0	1	0.842996
630	-3	0	0.945034
630	0	1	0.838544
640	-3	0	0.943688
640	0	1	0.835353
650	-3	0	0.941465
650	0	1	0.831016
660	-3	0	0.939008
660	0	1	0.826234
670	-3	0	0.938106
670	0	1	0.822973
680	-3	0	0.937376
680	0	1	0.819449
690	-3	0	0.936871
690	0	1	0.813276
700	-3	0	0.936614
700	0	1	0.807541
710	-3	0	0.936327
710	0	1	0.802121
720	-3	0	0.934374
720	0	1	0.797453
730	-3	0	0.933743
730	0	1	0.794844
740	-3	0	0.93138
740	0	1	0.790814
750	-3	0	0.930438
750	0	1	0.785449
760	-3	0	0.929869
760	0	1	0.781121
770	-3	0	0.928408
770	0	1	0.775931
780	-3	0	0.926106
780	0	1	0.771364
790	-3	0	0.926324
790	0	1	0.765083
800	-3	0	0.923752
800	0	1	0.759078
810	-3	0	0.924383
810	0	1	0.752714
820	-3	0	0.924001
820	0	1	0.747838
830	-3	0	0.923319
830	0	1	0.740604
840	-3	0	0.920529
840	0	1	0.735694
850	-3	0	0.919218
850	0	1	0.730798
860	-3	0	0.91661
860	0	1	0.724165
870	-3	0	0.915843
870	0	1	0.718766
880	-3	0	0.914426
880	0	1	0.712395
890	-3	0	0.912901
890	0	1	0.706789
900	-3	0	0.912479
900	0	1	0.700828
910	-3	0	0.912585
910	0	1	0.695259
920	-3	0	0.911579
920	0	1	0.689625
930	-3	0	0.910551
930	0	1	0.684499
940	-3	0	0.90884
940	0	1	0.677445
950	-3	0	0.907244
950	0	1	0.672249
960	-3	0	0.904414
960	0	1	0.667132
970	-3	0	0.903825
970	0	1	0.659468
980	-3	0	0.90221
980	0	1	0.649179
990	-3	0	0.900759
990	0	1	0.640409
1000	-3	0	0.899521
1000	0	1	0.632314
1010	-3	0	0.899898
1010	0	1	0.625143
1020	-3	0	0.900116
1020	0	1	0.618681
1030	-3	0	0.897585
1030	0	1	0.610444
1040	-3	0	0.896915
1040	0	1	0.604309
1050	-3	0	0.897393
1050	0	1	0.598862
1060	-3	0	0.898099
1060	0	1	0.591475
1070	-3	0	0.897795
1070	0	1	0.588456
1080	-3	0	0.897616
1080	0	1	0.583273
1090	-3	0	0.89612
1090	0	1	0.57805
1100	-3	0	0.895963
1100	0	1	0.570951
1110	-3	0	0.892924
1110	0	1	0.565624
1120	-3	0	0.893226
1120	0	1	0.558801
1130	-3	0	0.893814
1130	0	0.9995	0.550758
1130	21	0.00050025	0.999516
1140	-3	0	0.892895
1140	0	1	0.543807
1150	-3	0	0.892265
1150	0	1	0.535247
1160	-3	0	0.892014
1160	0	0.9995	0.528654
1160	23	0.00050025	1
1170	-3	0	0.890933
1170	0	1	0.520944
1180	-3	0	0.890554
1180	0	1	0.514309
1190	-3	0	0.890567
1190	0	1	0.505688
1200	-3	0	0.889299
1200	0	1	0.500758
1210	-3	0	0.889789
1210	0	0.998999	0.495166
1210	26	0.0010005	0.999919
1220	-3	0	0.888099
1220	0	0.995998	0.485485
1220	26	0.004002	0.998921
1230	-3	0	0.887753
1230	0	0.998999	0.479486
1230	26	0.0010005	0.997966
1240	-3	0	0.886704
1240	0	1	0.474429
1250	-3	0	0.886792
1250	0	1	0.465143
1260	-3	0	0.886887
1260	0	1	0.458865
1270	-3	0	0.886264
1270	0	1	0.452978
1280	-3	0	0.884568
1280	0	1	0.447347
1290	-3	0	0.885003
1290	0	1	0.437695
1300	-3	0	0.884539
1300	0	1	0.43022
1310	-3	0	0.882226
1310	0	0.997999	0.424336
1310	28	0.002001	0.999373
1320	-3	0	0.882397
1320	0	0.998999	0.413979
1320	28	0.0010005	0.99829
1330	-3	0	0.88189
1330	0	1	0.408655
1340	-3	0	0.880441
1340	0	1	0.402136
1350	-3	0	0.880375
1350	0	1	0.396579
1360	-3	0	0.88136
1360	0	1	0.389089
1370	-3	0	0.881452
1370	0	1	0.380706
1380	-3	0	0.880155
1380	0	1	0.372339
1390	-3	0	0.881156
1390	0	1	0.36588
1400	-3	0	0.881054
1400	0	0.995498	0.356606
1400	31	0.00450225	0.99982
1410	-3	0	0.879404
1410	0	0.992496	0.350148
1410	31	0.00750375	0.998735
1420	-3	0	0.878339
1420	0	0.969485	0.342451
1420	31	0.0305153	0.997706
1430	-3	0	0.876995
1430	0	0.928964	0.335395
1430	31	0.0710355	0.99658
1440	-3	0	0.876875
1440	0	0.753377	0.329049
1440	31	0.246623	0.995564
1450	-3	0	0.876031
1450	0	0.554777	0.324673
1450	31	0.445223	0.99451
1460	-3	0	0.874715
1460	0	0.404702	0.321962
1460	31	0.595298	0.993465
1470	-3	0	0.875819
1470	0	0.256628	0.320081
1470	31	0.743372	0.992535
1480	-3	0	0.874953
1480	0	0.192096	0.318498
1480	31	0.807904	0.991486
1490	-3	0	0.875481
1490	0	0.111556	0.317485
1490	31	0.888444	0.990414
1500	-3	0	0.875986
1500	0	0.072036	0.316256
1500	31	0.927964	0.989596
1510	-3	0	0.87501
1510	0	0.0605303	0.315562
1510	31	0.93947	0.988941
1520	-3	0	0.874006
1520	0	0.0485243	0.315691
1520	31	0.951476	0.986636
1530	-3	0	0.871479
1530	0	0.0425213	0.31423
1530	31	0.957479	0.985018
1540	-3	0	0.870244
1540	0	0.0535268	0.313219
1540	31	0.946473	0.983485
1550	-3	0	0.869244
1550	0	0.0630315	0.311663
1550	31	0.936968	0.982463
1560	-3	0	0.86773
1560	0	0.038019	0.308305
1560	31	0.961481	0.980166
1560	35	0.00050025	0.999929
1570	-3	0	0.866325
1570	0	0.022011	0.308243
1570	31	0.977989	0.9787
1580	-3	0	0.864926
1580	0	0.0110055	0.309037
1580	31	0.988994	0.976634
1590	-3	0	0.864284
1590	0	0.010005	0.308782
1590	31	0.989995	0.973703
1600	-3	0	0.864659
1600	0	0.00650325	0.3076
1600	31	0.993497	0.971836
1610	-3	0	0.863095
1610	0	0.008004	0.306934
1610	31	0.991996	0.96935
1620	-3	0	0.863407
1620	0	0.00250125	0.303833
1620	31	0.997499	0.967595
1630	-3	0	0.862083
1630	0	0	0.303224
1630	31	1	0.966019
1640	-3	0	0.860563
1640	0	0.004002	0.301384
1640	31	0.995998	0.963639
1650	-3	0	0.860182
1650	0	0.002001	0.30108
1650	31	0.997999	0.961999
1660	-3	0	0.859777
1660	0	0.006003	0.300359
1660	31	0.993997	0.960808
1670	-3	0	0.858746
1670	31	1.0005	0.958823
1680	-3	0	0.85887
1680	31	1.0005	0.956218
1690	-3	0	0.859326
1690	31	1.0005	0.953969
1700	-3	0	0.860843
1700	31	1.0005	0.952063
1710	-3	0	0.859194
1710	31	1.0005	0.950534
1720	-3	0	0.857766
1720	31	1.0005	0.948104
1730	-3	0	0.856466
1730	31	1.0005	0.94649
1740	-3	0	0.855524
1740	31	1.0005	0.944169
1750	-3	0	0.855528
1750	31	1.0005	0.942396
1760	-3	0	0.854414
1760	31	1.0005	0.940234
1770	-3	0	0.85385
1770	31	0.998499	0.936921
1770	39	0.002001	0.999748
1780	-3	0	0.855675
1780	31	0.998499	0.934359
1780	39	0.002001	0.998809
1790	-3	0	0.856024
1790	31	1.0005	0.930893
1800	-3	0	0.857626
1800	31	1.0005	0.927899
1810	-3	0	0.85534
1810	31	1.0005	0.924549
1820	-3	0	0.854802
1820	31	1.0005	0.923563
1830	-3	0	0.853059
1830	31	1.0005	0.92028
1840	-3	0	0.853099
1840	31	1.0005	0.91793
1850	-3	0	0.852673
1850	31	1.0005	0.913656
1860	-3	0	0.852669
1860	31	1.0005	0.911434
1870	-3	0	0.854076
1870	31	1.0005	0.906844
1880	-3	0	0.852444
1880	31	1.0005	0.904472
1890	-3	0	0.850883
1890	31	1.0005	0.900459
1900	-3	0	0.848906
1900	31	1.0005	0.895429
1910	-3	0	0.847507
1910	31	1.0005	0.8915
1920	-3	0	0.847205
1920	31	1.0005	0.887152
1930	-3	0	0.84727
1930	31	1.0005	0.88489
1940	-3	0	0.846301
1940	31	1.0005	0.881579
1950	-3	0	0.845581
1950	31	0.9995	0.87702
1950	40	0.0010005	1
1960	-3	0	0.842824
1960	31	1.0005	0.873269
1970	-3	0	0.84245
1970	31	1.0005	0.869223
1980	-3	0	0.843498
1980	31	1.0005	0.865458
1990	-3	0	0.844179
1990	31	1.0005	0.862669
2000	-3	0	0.842084
2000	31	1.0005	0.858006
2010	-3	0	0.842844
2010	31	1.0005	0.85439
2020	-3	0	0.842172
2020	31	1.0005	0.851368
2030	-3	0	0.84225
2030	31	1.0005	0.845269
2040	-3	0	0.84238
2040	31	1.0005	0.841284
2050	-3	0	0.842534
2050	31	1.0005	0.837943
2060	-3	0	0.8423
2060	31	1.0005	0.833092
2070	-3	0	0.843313
2070	31	1.0005	0.827761
2080	-3	0	0.841561
2080	31	1.0005	0.823335
2090	-3	0	0.840238
2090	31	1.0005	0.81934
2100	-3	0	0.841159
2100	31	0.998999	0.814046
2100	42	0.00150075	0.999579
2110	-3	0	0.84001
2110	31	0.998499	0.809553
2110	42	0.002001	0.998711
2120	-3	0	0.841139
2120	31	0.987994	0.803621
2120	42	0.0125063	0.99777
2130	-3	0	0.841322
2130	31	0.974987	0.798994
2130	42	0.0250125	0.996709
2130	44	0.00050025	0.999856
2140	-3	0	0.840649
2140	31	0.973487	0.79344
2140	42	0.0270135	0.995794
2150	-3	0	0.838479
2150	31	0.953477	0.789388
2150	42	0.0470235	0.99461
2160	-3	0	0.837791
2160	31	0.933467	0.78372
2160	42	0.0670335	0.993785
2170	-3	0	0.837394
2170	31	0.934967	0.777869
2170	42	0.0655328	0.992191
2180	-3	0	0.834941
2180	31	0.895948	0.773203
2180	42	0.104552	0.991214
