Generation number	Allele number	Frequency	Activity
0	-3	0.999898	0.00020478
0	0	1	0.999924
10	-3	0.998935	0.00212147
10	0	1	0.998905
20	-3	0.997886	0.00419871
20	0	1	0.998003
30	-3	0.996665	0.00659442
30	0	1	0.996894
40	-3	0.995814	0.00826497
40	0	1	0.995799
50	-3	0.995311	0.00922236
50	0	1	0.994718
60	-3	0.994591	0.010613
60	0	1	0.993528
70	-3	0.99371	0.0123216
70	0	1	0.992699
80	-3	0.992195	0.0152102
80	0	1	0.99195
90	-3	0.991438	0.016615
90	0	1	0.991361
100	-3	0.989934	0.0194415
100	0	1	0.990391
110	-3	0.988793	0.0214879
110	0	1	0.989391
120	-3	0.988283	0.0224091
120	0	1	0.988459
130	-3	0.987653	0.0236642
130	0	1	0.986868
140	-3	0.987721	0.0235284
140	0	1	0.98511
150	-3	0.98643	0.0258401
150	0	1	0.983105
160	-3	0.985736	0.0271288
160	0	1	0.982481
170	-3	0.984664	0.0289851
170	0	1	0.98076
180	-3	0.983601	0.0308743
180	0	1	0.979258
190	-3	0.982825	0.0323573
190	0	1	0.977369
200	-3	0.981501	0.0346821
200	0	1	0.975673
210	-3	0.980428	0.0366307
210	0	1	0.974449
220	-3	0.979376	0.0384223
220	0	1	0.973611
230	-3	0.977945	0.0407787
230	0	1	0.971741
240	-3	0.977625	0.0413974
240	0	1	0.970411
250	-3	0.976434	0.0432893
250	0	1	0.968466
260	-3	0.975165	0.0456709
260	0	1	0.966314
270	-3	0.973528	0.048413
270	0	1	0.964614
280	-3	0.972128	0.0505372
280	0	1	0.962753
290	-3	0.971224	0.0518043
290	0	1	0.96022
300	-3	0.971148	0.0517931
300	0	1	0.958639
310	-3	0.969989	0.0533512
310	0	1	0.957368
320	-3	0.968724	0.0554925
320	0	1	0.954768
330	-3	0.967403	0.0577299
330	0	1	0.95232
340	-3	0.966056	0.0602006
340	0	1	0.950631
350	-3	0.964896	0.0621512
350	0	1	0.948344
360	-3	0.96441	0.0628858
360	0	1	0.946314
370	-3	0.962759	0.0651672
370	0	1	0.943588
380	-3	0.96131	0.067431
380	0	1	0.9422
390	-3	0.960724	0.0682639
390	0	1	0.938578
400	-3	0.96025	0.0690068
400	0	1	0.937148
410	-3	0.959354	0.0702574
410	0	1	0.933651
420	-3	0.95854	0.0715766
420	0	1	0.930915
430	-3	0.95634	0.0746921
430	0	1	0.928075
440	-3	0.956205	0.0747771
440	0	1	0.923926
450	-3	0.956428	0.0742038
450	0	1	0.920381
460	-3	0.955539	0.0752302
460	0	1	0.917598
470	-3	0.953018	0.0796444
470	0	1	0.915139
480	-3	0.951833	0.080758
480	0	1	0.911563
490	-3	0.951033	0.0815348
490	0	1	0.90819
500	-3	0.950299	0.0823138
500	0	1	0.905988
510	-3	0.949301	0.0839019
510	0	1	0.904536
520	-3	0.948584	0.0849187
520	0	1	0.90007
530	-3	0.94792	0.0855151
530	0	1	0.89708
540	-3	0.947965	0.0846594
540	0	1	0.893254
550	-3	0.947034	0.0859865
550	0	1	0.890764
560	-3	0.947343	0.085776
560	0	1	0.887663
570	-3	0.94635	0.0869153
570	0	1	0.885055
580	-3	0.946221	0.0871285
580	0	1	0.880369
590	-3	0.944688	0.0888137
590	0	1	0.875004
600	-3	0.94348	0.0906167
600	0	1	0.872503
610	-3	0.942244	0.0919038
610	0	1	0.868829
620	-3	0.942564	0.0912976
620	0	1	0.865879
630	-3	0.942803	0.091513
630	0	1	0.862045
640	-3	0.94255	0.0918855
640	0	1	0.858049
650	-3	0.942368	0.0926536
650	0	1	0.853587
660	-3	0.941234	0.0937805
660	0	1	0.849245
670	-3	0.941364	0.0934913
670	0	1	0.845111
680	-3	0.940134	0.0951019
680	0	1	0.842943
690	-3	0.939844	0.0949413
690	0	1	0.839452
700	-3	0.937923	0.0971521
700	0	1	0.83427
710	-3	0.93727	0.0981899
710	0	1	0.830509
720	-3	0.935008	0.101263
720	0	1	0.824763
730	-3	0.93485	0.100375
730	0	1	0.821883
740	-3	0.933248	0.102205
740	0	1	0.818876
750	-3	0.932773	0.103599
750	0	1	0.814366
760	-3	0.932456	0.104319
760	0	1	0.808478
770	-3	0.930981	0.106004
770	0	1	0.804734
780	-3	0.929401	0.108045
780	0	1	0.801554
790	-3	0.930303	0.106773
790	0	1	0.795145
800	-3	0.929506	0.107944
800	0	1	0.791518
810	-3	0.928796	0.109538
810	0	1	0.785037
820	-3	0.927333	0.111832
820	0	1	0.780145
830	-3	0.924576	0.11534
830	0	1	0.775572
840	-3	0.923601	0.115114
840	0	1	0.768661
850	-3	0.921442	0.117926
850	0	1	0.764191
860	-3	0.920885	0.118708
860	0	1	0.758908
870	-3	0.919099	0.121021
870	0	1	0.754293
880	-3	0.918514	0.122636
880	0	1	0.749046
890	-3	0.918732	0.122838
890	0	1	0.742517
900	-3	0.919474	0.123238
900	0	1	0.737166
910	-3	0.916548	0.126584
910	0	1	0.729045
920	-3	0.91605	0.126937
920	0	1	0.721889
930	-3	0.916456	0.125923
930	0	1	0.715628
940	-3	0.914955	0.127998
940	0	1	0.708271
950	-3	0.914973	0.128358
950	0	1	0.703376
960	-3	0.914224	0.12917
960	0	1	0.696962
970	-3	0.912723	0.131326
970	0	1	0.690701
980	-3	0.911333	0.133054
980	0	1	0.683268
990	-3	0.910273	0.133358
990	0	1	0.676876
1000	-3	0.908436	0.135512
1000	0	1	0.67065
1010	-3	0.908269	0.135487
1010	0	1	0.66407
1020	-3	0.904686	0.139673
1020	0	1	0.658316
1030	-3	0.904359	0.14008
1030	0	1	0.653646
1040	-3	0.903046	0.140599
1040	0	1	0.647087
1050	-3	0.902706	0.140677
1050	0	1	0.639539
1060	-3	0.901595	0.142821
1060	0	1	0.63325
1070	-3	0.902966	0.140216
1070	0	1	0.626673
1080	-3	0.902116	0.140843
1080	0	1	0.622309
1090	-3	0.899924	0.143382
1090	0	1	0.615641
1100	-3	0.898564	0.143042
1100	0	1	0.608559
1110	-3	0.898425	0.14291
1110	0	1	0.602201
1120	-3	0.897189	0.14208
1120	0	1	0.59562
1130	-3	0.894783	0.144558
1130	0	1	0.588291
1140	-3	0.893323	0.145398
1140	0	1	0.583698
1150	-3	0.892889	0.147237
1150	0	1	0.577424
1160	-3	0.890973	0.148458
1160	0	1	0.570703
1170	-3	0.88874	0.149426
1170	0	1	0.565031
1180	-3	0.887735	0.149982
1180	0	1	0.558123
1190	-3	0.887361	0.149048
1190	0	1	0.549255
1200	-3	0.885196	0.151776
1200	0	1	0.542775
1210	-3	0.883865	0.152797
1210	0	1	0.535395
1220	-3	0.882343	0.154441
1220	0	1	0.528326
1230	-3	0.882784	0.153412
1230	0	1	0.51907
1240	-3	0.882403	0.153612
1240	0	1	0.511014
1250	-3	0.883513	0.151705
1250	0	1	0.504047
1260	-3	0.883386	0.151423
1260	0	1	0.496959
1270	-3	0.882245	0.153381
1270	0	1	0.4897
1280	-3	0.881229	0.155836
1280	0	1	0.482667
1290	-3	0.880976	0.155517
1290	0	1	0.473016
1300	-3	0.879759	0.158565
1300	0	1	0.465114
1310	-3	0.878334	0.159375
1310	0	1	0.458504
1320	-3	0.87785	0.159831
1320	0	1	0.450911
1330	-3	0.877998	0.159022
1330	0	1	0.443848
1340	-3	0.877099	0.158707
1340	0	1	0.436398
1350	-3	0.874846	0.159897
1350	0	1	0.429834
1360	-3	0.873394	0.160751
1360	0	1	0.422053
1370	-3	0.872607	0.161389
1370	0	1	0.411838
1380	-3	0.873588	0.160807
1380	0	1	0.404616
1390	-3	0.872863	0.162636
1390	0	1	0.397724
1400	-3	0.8731	0.162074
1400	0	1	0.388259
