Generation number,Total number of allele,Diversity,Activity,Time,Fertility rate,2 DSB on one site rate,No DSB rate,No symmetrical sites (binding + DSB) rate,,"0,806233774999999"
0,1,1,"0,999889","1,5091","0,952381","0,0395238","0,00190476","0,00619048",,
10,1,1,"0,998883","1,56939","0,946522","0,04354","0,00283956","0,00709891",,
20,1,1,"0,997725","1,58245","0,951928","0,0414089","0,00237982","0,00428367",,
30,1,1,"0,99643","1,55468","0,949668","0,0417854","0,002849","0,00569801",,
40,1,1,"0,995088","1,55165","0,954654","0,0348449","0,00238663","0,00811456",,
50,1,1,"0,9942","1,55712","0,946522","0,04354","0,00283956","0,00709891",,
60,1,1,"0,992946","1,56145","0,947867","0,0412322","0,00236967","0,00853081",,
70,1,1,"0,992315","1,55855","0,94518","0,0420605","0,00189036","0,0108696",,
80,1,1,"0,991194","1,54211","0,957396","0,0325515","0,00191479","0,00813787",,
90,1,1,"0,989751","1,55128","0,949668","0,0394112","0,0042735","0,00664767",,
100,1,1,"0,989105","1,55121","0,949217","0,0389179","0,00332226","0,00854295",,
110,1,1,"0,987148","1,5452","0,954654","0,0338902","0,00334129","0,00811456",,
120,1,1,"0,985729","1,54886","0,951928","0,0352213","0,00380771","0,00904331",,
130,1,1,"0,98396","1,55296","0,944287","0,0439093","0,00424929","0,0075543",,
140,1,1,"0,982403","1,55302","0,943396","0,0419811","0,00330189","0,0113208",,
150,1,1,"0,981274","1,55423","0,946522","0,0411737","0,00331283","0,00899195",,
160,1,1,"0,97949","1,55374","0,94697","0,0440341","0,00142045","0,00757576",,
170,1,1,"0,978699","1,53562","0,957396","0,0359023","0,00143609","0,00526568",,
180,1,1,"0,976771","1,54473","0,94697","0,0402462","0,00236742","0,0104167",,
190,1,1,"0,975231","1,54097","0,947867","0,0383886","0,0028436","0,0109005",,
200,1,1,"0,974093","1,54365","0,946522","0,0440133","0,000946522","0,00851869",,
210,1,1,"0,972643","1,55209","0,938527","0,0469263","0,00234632","0,0122008",,
220,1,1,"0,970828","1,53452","0,949217","0,0427148","0,00237304","0,0056953",,
230,1,1,"0,968586","1,52836","0,949668","0,0379867","0,00332384","0,00902184",,
240,1,1,"0,968066","1,53379","0,942063","0,0423928","0,00235516","0,0131889",,
250,1,1,"0,965224","1,52133","0,951475","0,0390105","0,00285442","0,00666032",,
260,1,1,"0,963283","1,5222","0,946522","0,0392806","0,00331283","0,010885",,
270,1,1,"0,96146","1,51982","0,948767","0,0379507","0,00332068","0,00996205",,
280,1,1,"0,958898","1,5178","0,948317","0,0436226","0,00189663","0,00616406",,
290,1,1,"0,956168","1,5136","0,949217","0,0398671","0,00284765","0,00806834",,
300,1,1,"0,955409","1,52494","0,940734","0,0465663","0,00188147","0,0108184",,
310,1,1,"0,952214","1,51621","0,942951","0,0414899","0,00235738","0,0132013",,
320,1,1,"0,949289","1,55604","0,93633","0,0472846","0,00187266","0,0145131",,
330,1,1,"0,946077","1,51191","0,951928","0,0356973","0,000951928","0,0114231",,
340,1,1,"0,945128","1,50457","0,944287","0,0443815","0,00188857","0,00944287",,
350,1,1,"0,943085","1,49951","0,953289","0,0386082","0,00285987","0,00524309",,
360,1,1,"0,941905","1,52413","0,942951","0,0447902","0,00282885","0,00942951",,
