Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	0.999884	1.50337	0.949217	0.0365449	0.00332226	0.010916	0.00990995
10	2	1.00502	0.998822	1.49137	0.946074	0.0425733	0.00189215	0.00946074	0.00945823
20	1	1	0.997684	1.47597	0.94697	0.0407197	0.00189394	0.0104167	0.00972986
30	3	1.01208	0.996768	1.48026	0.947418	0.0397916	0.00378967	0.00900047	0.00962643
40	3	1.00804	0.995472	1.48571	0.940734	0.0456256	0.0042333	0.00940734	0.00973299
50	1	1	0.994133	1.47635	0.944733	0.0448748	0.0028342	0.00755786	0.00968267
60	1	1	0.99262	1.46689	0.953289	0.034795	0.00142993	0.0104862	0.00968595
70	2	1.00804	0.991383	1.4782	0.954654	0.0324582	0.00286396	0.0100239	0.0097372
80	2	1.001	0.990051	1.49248	0.945626	0.0420804	0.00378251	0.00851064	0.00979224
90	1	1	0.98895	1.45769	0.951475	0.0394862	0.000951475	0.00808754	0.00978931
100	2	1.00401	0.98769	1.47041	0.946074	0.0425733	0.000473037	0.0108798	0.00971808
110	2	1.00301	0.986286	1.49534	0.949217	0.0427148	0.00142383	0.00664452	0.0098474
120	2	1.01006	0.984639	1.45902	0.954654	0.0400955	0.000954654	0.00429594	0.0094955
130	2	1.00905	0.983358	1.46611	0.951928	0.0371252	0.00237982	0.00856735	0.00955248
140	2	1.02841	0.982883	1.48992	0.940291	0.0498354	0.000470146	0.00940291	0.00943204
150	2	1.02328	0.981513	1.47871	0.949217	0.0408163	0.00237304	0.00759374	0.00962985
160	2	1.02841	0.980054	1.51016	0.941176	0.0456471	0.00329412	0.00988235	0.00959357
170	2	1.04395	0.978323	1.50148	0.943396	0.0495283	0.00235849	0.00471698	0.00951237
180	4	1.04818	0.97654	1.52513	0.940291	0.0465444	0.00235073	0.0108134	0.00939099
190	2	1.06183	0.975399	1.51002	0.948767	0.0412713	0.00237192	0.00759013	0.00942091
200	2	1.0429	0.973087	1.52016	0.945626	0.0406619	0.000472813	0.0132388	0.00954035
210	2	1.06289	0.971158	1.49913	0.949668	0.0413105	0.0014245	0.00759734	0.00947683
220	2	1.10833	0.970071	1.63286	0.942507	0.0419416	0.00282752	0.0127238	0.00918439
230	2	1.07355	0.967105	1.54482	0.944287	0.0429651	0.00188857	0.0108593	0.00916299
