Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	2	1.002	0.999903	1.38265	0.947867	0.042654	0.00331754	0.00616114
10	8	1.04011	0.998916	1.48512	0.958313	0.0349784	0.00143747	0.00527072
20	9	1.10062	0.997949	1.56638	0.951022	0.0404184	0.00285307	0.00570613
30	12	1.14515	0.996882	1.6201	0.951928	0.0376011	0.00190386	0.00856735
40	14	1.184	0.995771	1.62015	0.95511	0.0367717	0.000477555	0.00764088
50	15	1.20186	0.994565	1.63228	0.947418	0.040739	0.00473709	0.00710564
60	18	1.23865	0.993917	1.67518	0.954198	0.0333969	0.000954198	0.0114504
70	16	1.35967	0.993033	1.71646	0.954654	0.0367542	0	0.00859189
80	18	1.43349	0.991415	1.78402	0.958773	0.0325983	0.00191755	0.00671141
90	15	1.64779	0.990771	1.98207	0.937647	0.0417253	0.00234412	0.0182841
100	13	1.79784	0.989444	1.89493	0.946522	0.0388074	0.00141978	0.0132513
110	15	1.75428	0.988225	1.83504	0.955566	0.0291448	0.00430005	0.010989
120	19	1.93513	0.987648	1.86861	0.946074	0.038789	0.00189215	0.013245
130	24	2.28301	0.987106	1.96042	0.953743	0.0286123	0.0066762	0.010968
140	24	2.26445	0.986093	1.97051	0.955566	0.0262781	0.00238892	0.0157668
150	20	2.14886	0.984552	1.93144	0.944733	0.0349551	0.0028342	0.0174776
160	25	2.12125	0.983496	1.95137	0.950119	0.031829	0.00332542	0.0147268
170	27	2.4733	0.982947	1.99408	0.958313	0.0277911	0	0.0138955
180	24	2.50199	0.981802	2.00483	0.950119	0.0308789	0.00285036	0.016152
190	23	2.7759	0.981004	2.07767	0.954198	0.0305344	0.0028626	0.0124046
200	27	3.14167	0.980934	2.04718	0.963855	0.0240964	0.000963855	0.0110843
210	29	3.31289	0.980393	2.05876	0.957396	0.0268071	0.00239349	0.0134035
220	29	3.14172	0.979129	2.07721	0.95057	0.0304183	0.00285171	0.0161597
230	25	2.71201	0.977257	2.0152	0.950119	0.0346793	0.00142518	0.0137767
240	24	2.87844	0.976012	2.04971	0.958313	0.0263536	0.00287494	0.0124581
250	28	3.55447	0.976747	2.14226	0.959693	0.0278311	0.00239923	0.0100768
260	29	3.77303	0.97585	2.11945	0.947418	0.0331596	0.00236855	0.0170535
270	21	3.49883	0.974868	2.08472	0.952835	0.028585	0.00381134	0.0147689
280	21	3.45944	0.973057	2.06839	0.948317	0.0355619	0.00189663	0.0142248
290	18	3.61736	0.971603	2.05354	0.951928	0.0299857	0.00237982	0.0157068
300	25	4.13575	0.971976	2.08849	0.959233	0.02494	0.00383693	0.0119904
310	24	4.37622	0.971304	2.09672	0.951022	0.0261531	0.00142653	0.021398
320	20	4.57468	0.970199	2.11826	0.942951	0.0325318	0.00330033	0.0212164
