Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	0.999886	1.55417	0.991572	0	0.00247893	0.00594943	1.12301
10	1	1	0.998913	2.06897	0.990589	0	0.00247647	0.00693413	1.10668
20	1	1	0.997986	2.11368	0.991572	0	0.00247893	0.00594943	1.133
30	1	1	0.997073	2.02175	0.989609	0	0.00247402	0.00791687	1.1347
40	1	1	0.99597	2.01884	0.991572	0	0.000991572	0.00743679	1.12433
50	1	1	0.994721	2.02395	0.989609	0	0.00197922	0.00841168	1.11062
60	1	1	0.993825	2.02717	0.987654	0	0.0054321	0.00691358	1.11979
70	1	1	0.992009	2.05773	0.99108	0	0.00148662	0.0074331	1.12337
80	1	1	0.990308	2.08333	0.990099	0	0.000990099	0.00891089	1.1195
90	1	1	0.988774	2.04756	0.994036	0	0.00397614	0.00198807	1.10861
100	1	1	0.987465	2.06852	0.988142	0	0.0034585	0.00839921	1.12586
110	2	1.00401	0.98602	2.07136	0.992556	0	0.00248139	0.00496278	1.0988
120	3	1.00301	0.984804	2.06623	0.993049	0	0.0019861	0.00496524	1.11575
130	1	1	0.983083	2.06184	0.988631	0	0.00296589	0.00840336	1.10716
140	1	1	0.981494	2.06925	0.99108	0	0.00148662	0.0074331	1.10585
150	1	1	0.979429	2.08559	0.988142	0	0.00247036	0.00938735	1.09783
160	1	1	0.977674	2.07893	0.990099	0	0.00148515	0.00841584	1.09378
170	1	1	0.975482	2.04829	0.990589	0	0.00198118	0.00742942	1.11881
180	1	1	0.973846	2.06473	0.98912	0	0.00197824	0.00890208	1.08927
190	1	1	0.970896	2.05773	0.984737	0	0.00196947	0.0132939	1.09534
200	1	1	0.968729	2.04166	0.993049	0	0.00148957	0.00546177	1.10829
210	1	1	0.966531	2.0768	0.988142	0	0.00197628	0.00988142	1.08592
220	1	1	0.96464	2.04943	0.98912	0	0.00197824	0.00890208	1.08522
230	1	1	0.96293	2.04436	0.983768	0	0.00393507	0.0122971	1.08304
240	2	1.002	0.961646	2.0734	0.985707	0	0.00295712	0.0113356	1.07894
250	2	1.01208	0.958654	2.0365	0.99108	0	0.00148662	0.0074331	1.092
260	2	1.00502	0.954454	2.02669	0.990099	0	0.00247525	0.00742574	1.07912
270	1	1	0.953125	2.06029	0.988142	0	0.000988142	0.0108696	1.07392
280	1	1	0.951591	1.50583	0.988631	0	0.00395452	0.00741473	1.07141
290	1	1	0.948034	1.48189	0.98912	0	0.00148368	0.00939664	1.06204
300	1	1	0.946325	1.48085	0.985222	0	0.00295567	0.0118227	1.05949
310	1	1	0.945649	1.48668	0.99108	0	0.00198216	0.00693756	1.06494
320	2	1.00804	0.943508	1.47893	0.987654	0	0.00246914	0.00987654	1.05525
330	2	1.00703	0.940897	1.54351	0.990589	0	0.00297177	0.00643883	1.05831
340	2	1.002	0.938003	1.47526	0.987167	0	0.00246792	0.0103653	1.06272
350	2	1.00502	0.935576	1.4911	0.984252	0	0.00295276	0.0127953	1.05642
360	1	1	0.931539	1.47496	0.986193	0	0.00147929	0.0123274	1.03924
370	1	1	0.927316	1.47641	0.984737	0	0.00393895	0.0113245	1.04302
380	1	1	0.924914	1.45589	0.985222	0	0.00197044	0.0128079	1.04189
390	1	1	0.921425	1.48035	0.986193	0	0.00246548	0.0113412	1.03447
400	1	1	0.918559	1.4603	0.987167	0	0.00246792	0.0103653	1.02329
410	1	1	0.91559	1.47492	0.97704	0	0.00439668	0.0185638	1.0438
420	1	1	0.911684	1.4614	0.985707	0	0.000492854	0.0137999	1.02303
430	1	1	0.909146	1.45846	0.985707	0	0.000492854	0.0137999	1.0175
440	1	1	0.905569	1.45799	0.986193	0	0.00246548	0.0113412	1.02409
450	1	1	0.902964	1.43427	0.986193	0	0.00197239	0.0118343	1.03204
460	1	1	0.898887	1.4551	0.986193	0	0.000986193	0.0128205	1.01019
470	1	1	0.89769	1.43291	0.980392	0	0.00147059	0.0181373	1.02632
480	1	1	0.89337	1.43346	0.984737	0	0	0.0152634	1.01634
490	1	1	0.89034	1.45094	0.984252	0	0.00246063	0.0132874	1.00601
500	1	1	0.887423	1.42118	0.983768	0	0.00245942	0.0137727	0.99201
510	1	1	0.883961	1.4496	0.982801	0	0.0019656	0.0152334	1.01348
520	1	1	0.880684	1.42395	0.98912	0	0.00098912	0.0098912	1.00218
530	1	1	0.876354	1.42967	0.981836	0	0.00490918	0.0132548	0.996231
540	1	1	0.872059	1.4312	0.978953	0	0.00489476	0.0161527	0.988498
550	1	1	0.867085	1.41449	0.985707	0	0.00197141	0.0123213	0.988359
560	1	1	0.862676	1.42184	0.98668	0	0.00197336	0.0113468	0.978315
570	1	1	0.857101	1.40548	0.982801	0	0.0019656	0.0152334	0.977525
580	1	1	0.853299	1.40162	0.980392	0	0.00392157	0.0156863	0.982986
590	1	1	0.849856	1.38961	0.987167	0	0.000987167	0.011846	0.9669
600	1	1	0.845235	1.39569	0.981354	0	0.00245339	0.0161923	0.965023
610	1	1	0.841558	1.37748	0.980392	0	0.00196078	0.0176471	0.966085
620	1	1	0.835395	1.38447	0.981354	0	0.00294406	0.0157017	0.959999
630	1	1	0.831543	1.407	0.976086	0	0.0034163	0.0204978	0.960811
640	1	1	0.825121	1.37537	0.978953	0	0.00146843	0.0195791	0.947697
650	2	1.001	0.820204	1.37866	0.983284	0	0.00245821	0.0142576	0.947606
660	1	1	0.81394	1.35266	0.979432	0	0.00195886	0.0186092	0.936248
670	1	1	0.808589	1.35339	0.981836	0	0.000490918	0.017673	0.944503
680	1	1	0.802916	1.35729	0.977995	0	0.00244499	0.0195599	0.946238
690	2	1.002	0.795999	1.34913	0.976562	0	0.00292969	0.0205078	0.924882
700	1	1	0.791375	1.32431	0.976086	0	0.00146413	0.02245	0.925377
710	1	1	0.785559	1.33137	0.977517	0	0.00293255	0.0195503	0.92509
720	1	1	0.778681	1.33625	0.978953	0	0.00195791	0.0190896	0.921143
730	1	1	0.774515	1.31052	0.975134	0	0.00390054	0.0209654	0.910809
740	1	1	0.76987	1.28544	0.982318	0	0.000982318	0.0166994	0.912016
750	1	1	0.764384	1.30072	0.974184	0	0.00243546	0.0233804	0.913314
760	1	1	0.759509	1.30913	0.975134	0	0.000975134	0.0238908	0.911531
770	1	1	0.752692	1.27611	0.976562	0	0.00195312	0.0214844	0.899588
780	1	1	0.745297	1.25737	0.974184	0	0.00194837	0.0238675	0.892935
790	1	1	0.738309	1.27005	0.970403	0	0.00291121	0.0266861	0.897231
800	1	1	0.73348	1.2258	0.97371	0	0.00292113	0.023369	0.900088
810	1	1	0.72761	1.23388	0.97561	0	0.00195122	0.022439	0.879056
820	1	1	0.722878	1.22618	0.968992	0	0.00242248	0.0285853	0.876131
830	1	1	0.715981	1.1967	0.980392	0	0.00294118	0.0166667	0.881135
840	2	1.01411	0.712637	1.23025	0.969462	0	0.00193892	0.0285991	0.872514
850	2	1.03667	0.710356	1.24802	0.974184	0	0.00194837	0.0238675	0.875647
860	2	1.04918	0.708388	1.26353	0.974659	0	0.00146199	0.0238791	0.877083
870	3	1.03262	0.698907	1.22304	0.968992	0	0.00339147	0.0276163	0.86424
880	2	1.02944	0.692562	1.20964	0.970403	0	0.00436681	0.0252305	0.870778
890	2	1.04186	0.689823	1.23709	0.97561	0	0.00195122	0.022439	0.871876
900	2	1.01411	0.681764	1.17511	0.974184	0	0.00146128	0.0243546	0.853602
910	2	1.001	0.674827	1.17184	0.973236	0	0.00291971	0.0238443	0.849064
920	2	1.001	0.669617	1.17297	0.966184	0	0.00144928	0.0323671	0.840881
930	1	1	0.662016	1.16982	0.972763	0	0.00194553	0.0252918	0.846015
940	1	1	0.655455	1.14298	0.966651	0	0.00241663	0.0309328	0.830281
950	2	1.002	0.649079	1.11905	0.979912	0	0.00195982	0.0181284	0.82628
960	2	1.00301	0.64289	1.13985	0.966651	0	0.00338328	0.0299662	0.826201
970	2	1.001	0.637644	1.11839	0.972763	0	0.00340467	0.0238327	0.819161
980	1	1	0.62992	1.11351	0.962927	0	0.00240732	0.0346654	0.803416
