Generation_number	Allele_number	Frequency	Activity
0	0	1	0.99949
10	0	0.985493	0.99454
10	2	0.0010005	0.997015
10	3	0.0030015	0.997458
10	8	0.00250125	0.99792
10	9	0.00050025	0.998478
10	11	0.00150075	0.998506
10	13	0.0010005	0.998976
10	14	0.00250125	0.999056
10	15	0.00050025	0.998976
10	17	0	1
10	19	0.0010005	1
10	20	0.0010005	1
20	0	0.963982	0.988419
20	3	0.00150075	0.99185
20	8	0.00450225	0.992941
20	11	0.00050025	0.993459
20	14	0.004002	0.994163
20	19	0.00350175	0.994854
20	20	0.00450225	0.994949
20	22	0.00550275	0.996105
20	24	0.004002	0.99701
20	34	0.0030015	0.998954
20	35	0.00050025	0.998986
20	37	0.00150075	0.99905
20	38	0.00050025	0.999498
20	39	0.0010005	0.999488
20	40	0.00050025	0.999563
20	42	0.00050025	1
20	43	0.00050025	1
30	0	0.956978	0.983698
30	8	0.00550275	0.98811
30	14	0.0030015	0.989323
30	19	0.00350175	0.989911
30	20	0.0115058	0.990229
30	22	0.00250125	0.991673
30	34	0.004002	0.993749
30	45	0.0030015	0.99567
30	47	0.00050025	0.99606
30	51	0.0050025	0.997195
30	60	0.0010005	0.998453
30	64	0.0010005	0.998469
30	69	0.00050025	1
30	70	0.00150075	1
30	71	0.00050025	1
40	0	0.946473	0.978473
40	8	0.018009	0.984116
40	19	0.00250125	0.984556
40	20	0.006003	0.985509
40	22	0.002001	0.98675
40	45	0.00050025	0.990515
40	51	0.0090045	0.992101
40	64	0.004002	0.993476
40	70	0.00350175	0.9948
40	72	0.004002	0.995433
40	77	0.00050025	0.996598
40	86	0.0010005	0.998481
40	89	0.00050025	0.998999
40	93	0.0010005	0.999475
40	95	0.0010005	1
50	0	0.936468	0.972548
50	8	0.018009	0.980065
50	19	0.00150075	0.979559
50	20	0.0090045	0.98052
50	22	0.00250125	0.982124
50	51	0.00650325	0.987175
50	64	0.0010005	0.987921
50	70	0.00650325	0.989743
50	95	0.0030015	0.994948
50	106	0.002001	0.998093
50	107	0.00050025	0.997981
50	108	0.002001	0.998511
50	110	0.00150075	0.999053
50	111	0.00150075	0.999513
50	112	0.00250125	0.999441
50	113	0.0010005	0.999509
