Generation number	Allele number	Frequency	Activity
0	0	1	0.999468
10	0	0.997999	0.993716
10	1	0.002001	0.998523
20	0	0.997499	0.98827
20	1	0.00250125	0.993578
30	0	1	0.983475
40	0	0.993997	0.977414
40	5	0.006003	0.995826
50	0	0.989495	0.972274
50	5	0.0105053	0.990776
60	0	0.983492	0.967106
60	5	0.0165083	0.985285
70	0	0.983992	0.961449
70	5	0.0150075	0.980219
70	9	0.0010005	0.995489
80	0	0.982991	0.956295
80	5	0.012006	0.975484
80	9	0.00350175	0.990533
80	11	0.00150075	0.999059
90	0	0.968984	0.950287
90	5	0.0210105	0.970963
90	9	0.0050025	0.985444
90	11	0.004002	0.994276
90	16	0.0010005	0.999519
100	0	0.968984	0.944911
100	5	0.0255128	0.965637
100	11	0.002001	0.98893
100	16	0.00350175	0.994406
110	0	0.983492	0.93885
110	5	0.0145073	0.961231
110	16	0.00150075	0.98921
110	17	0.00050025	1
120	0	0.991996	0.931829
120	5	0.00550275	0.955205
120	16	0.00250125	0.984509
130	0	0.989995	0.925104
130	5	0.00450225	0.949741
130	16	0.00350175	0.97905
130	21	0.002001	0.998993
140	0	0.994997	0.918597
140	16	0.0010005	0.974646
140	23	0.004002	0.996458
150	0	0.985493	0.911813
150	16	0.0050025	0.969591
150	23	0.0090045	0.991228
150	27	0.00050025	0.997929
160	0	0.975988	0.903849
160	16	0.00150075	0.965296
160	23	0.02001	0.985844
160	28	0.0010005	0.998991
160	29	0.00150075	0.998994
170	0	0.954477	0.896974
170	16	0.002001	0.960679
170	23	0.0415208	0.980349
170	29	0.0010005	0.993878
170	30	0.0010005	1
180	0	0.955478	0.889039
180	23	0.0405203	0.976436
180	31	0.004002	0.997419
190	0	0.94097	0.879506
190	23	0.0530265	0.971083
190	31	0.006003	0.992751
200	0	0.929465	0.871328
200	23	0.0570285	0.966714
200	31	0.010005	0.988225
200	37	0.00050025	0.996351
200	39	0.0030015	0.998494
210	0	0.902951	0.863673
210	23	0.0695348	0.961937
210	31	0.0175088	0.984028
210	39	0.00550275	0.993601
210	40	0.00150075	0.997464
210	41	0.002001	0.998503
210	42	0.0010005	1
220	0	0.889945	0.855019
220	23	0.0755378	0.956593
220	31	0.0185093	0.979346
220	39	0.0130065	0.989519
220	42	0.002001	0.995071
220	43	0.0010005	0.997834
230	0	0.894447	0.846456
