Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999469	1.50013	0.946522	0.0411737	0.00331283	0.00899195
10	3	1.01311	0.994585	1.5277	0.955566	0.0377449	0.000955566	0.0057334
20	1	1	0.989099	1.52746	0.953289	0.0386082	0.00381316	0.0042898
30	1	1	0.984398	1.51647	0.949668	0.0379867	0.00332384	0.00902184
40	3	1.00401	0.979404	1.53964	0.94518	0.0439509	0.00236295	0.00850662
50	3	1.00804	0.97423	1.52484	0.940291	0.0512459	0.00188058	0.00658204
60	1	1	0.968603	1.49212	0.956938	0.0358852	0.00239234	0.00478469
70	2	1.00301	0.962323	1.5088	0.954198	0.0391221	0.0014313	0.00524809
80	2	1.001	0.955792	1.48328	0.954198	0.0362595	0.000477099	0.00906489
90	1	1	0.950158	1.49001	0.946074	0.0482498	0.000946074	0.00473037
100	2	1.00301	0.945185	1.49706	0.943841	0.041529	0.00613497	0.00849457
110	2	1.001	0.938353	1.47839	0.956938	0.0334928	0.00287081	0.00669856
120	2	1.002	0.932138	1.50313	0.944733	0.0406235	0.0028342	0.0118092
130	4	1.01514	0.925081	1.49312	0.947867	0.0412322	0.0028436	0.00805687
140	4	1.00603	0.917114	1.4772	0.954198	0.0376908	0.000954198	0.00715649
150	2	1.002	0.9094	1.47582	0.935016	0.0490884	0.00187003	0.0140252
160	1	1	0.90448	1.44521	0.953743	0.0314735	0.00381497	0.010968
170	4	1.02439	0.901073	1.50463	0.938086	0.0483114	0.00187617	0.0117261
180	6	1.03787	0.89682	1.49957	0.951928	0.0347454	0.00380771	0.00951928
190	2	1.04082	0.890957	1.47525	0.94697	0.0392992	0.00189394	0.0118371
200	3	1.04299	0.885609	1.48143	0.943841	0.041529	0.000943841	0.0136857
210	2	1.07355	0.87902	1.53253	0.94162	0.0428437	0.00282486	0.0127119
220	2	1.07355	0.871847	1.47857	0.943396	0.0396226	0.00424528	0.0127358
230	2	1.09517	0.864559	1.4917	0.944733	0.0387341	0.00188947	0.0146434
240	3	1.05564	0.852701	1.46425	0.939408	0.0469704	0.000469704	0.0131517
250	4	1.07511	0.845674	1.48077	0.931532	0.0493712	0.000931532	0.0181649
260	3	1.10834	0.837398	1.48999	0.932401	0.0508159	0.0041958	0.0125874
270	4	1.1164	0.827869	1.49346	0.933707	0.0471522	0.00140056	0.0177404
280	3	1.12877	0.820416	1.50218	0.933271	0.0443304	0.00279981	0.0195987
290	2	1.25207	0.820402	1.58495	0.936768	0.0435597	0.0028103	0.0168618
300	2	1.28261	0.811631	1.59874	0.943841	0.0320906	0.000943841	0.0231241
310	2	1.29125	0.804412	1.5782	0.94518	0.0363894	0.00236295	0.0160681
320	5	1.35151	0.799841	1.61311	0.942507	0.033459	0.00282752	0.0212064
330	4	1.48083	0.799186	1.68755	0.928505	0.0436397	0.00324977	0.0246054
340	3	1.59968	0.798586	1.71143	0.933271	0.0317312	0.00419972	0.0307979
350	3	1.68618	0.794062	1.71815	0.926355	0.0440019	0.00138953	0.0282538
360	3	1.75011	0.789982	1.70025	0.932836	0.0405784	0.00419776	0.0223881
370	4	1.76003	0.783015	1.721	0.930233	0.0386047	0.00232558	0.0288372
380	3	1.85989	0.781829	1.70912	0.935016	0.0336606	0.00187003	0.029453
390	4	1.89065	0.775366	1.72904	0.926355	0.0412228	0.00324224	0.0291802
400	4	1.86021	0.764503	1.75001	0.930233	0.0306977	0.00139535	0.0376744
410	5	1.94142	0.765365	1.70022	0.928505	0.0389972	0.00185701	0.0306407
420	4	1.96651	0.760936	1.72722	0.933707	0.0280112	0.00326797	0.035014
430	3	2.02198	0.762975	1.74187	0.922509	0.0355166	0.00184502	0.0401292
440	4	2.09808	0.761663	1.73892	0.929368	0.0362454	0.00185874	0.0325279
450	3	2.13507	0.760205	1.75786	0.930233	0.0362791	0.00372093	0.0297674
460	4	2.21304	0.763302	1.81516	0.932401	0.0331002	0.0037296	0.0307692
470	6	2.20231	0.78203	1.78941	0.938527	0.033787	0.00234632	0.0253402
480	6	2.21791	0.786892	1.7587	0.940291	0.0282087	0.00141044	0.0300893
490	5	2.2477	0.79863	1.84589	0.930665	0.0353653	0.001396	0.0325733
500	4	1.98686	0.795794	1.79734	0.933271	0.0321979	0.00233318	0.0321979
510	4	2.21935	0.801424	1.83428	0.934143	0.0308267	0.0032695	0.0317609
520	4	2.17028	0.803908	1.83564	0.931966	0.0316869	0.00232992	0.0340168
530	4	2.20917	0.807655	1.82085	0.939408	0.0314702	0.00187882	0.0272428
540	4	2.21912	0.812325	1.8424	0.935454	0.0397568	0.000935454	0.0238541
550	4	2.46986	0.809368	1.88435	0.935016	0.0369331	0.00187003	0.0261805
560	6	2.29965	0.809608	1.86549	0.923788	0.0438799	0.00138568	0.0309469
570	5	2.16601	0.79886	1.82217	0.932836	0.0326493	0.00139925	0.0331157
580	5	2.32578	0.803982	1.85846	0.933271	0.0331311	0.000933271	0.0326645
590	4	2.46736	0.818121	1.87357	0.931532	0.0386586	0.00186306	0.027946
600	6	2.58052	0.814211	1.88718	0.943841	0.0363379	0	0.0198207
610	5	2.61092	0.815641	1.87609	0.938527	0.0305021	0.00328484	0.0276865
620	5	2.49062	0.822039	1.91977	0.938967	0.0323944	0.000469484	0.028169
630	5	2.25935	0.828618	1.88545	0.93633	0.0332397	0.00187266	0.0285581
640	4	2.16902	0.821068	1.84439	0.943396	0.0316038	0.000471698	0.0245283
650	4	2.00901	0.826641	1.8016	0.93633	0.0365169	0.00140449	0.0257491
660	3	2.03568	0.81691	1.82507	0.934579	0.0373832	0.00514019	0.0228972
670	4	1.92401	0.818847	1.80368	0.942063	0.0268488	0.00376825	0.0273198
680	4	1.93529	0.813292	1.77024	0.938086	0.0342402	0.00140713	0.0262664
690	3	2.04364	0.806131	1.78038	0.938967	0.0338028	0.000469484	0.0267606
700	4	2.12294	0.793187	1.78857	0.934143	0.0364316	0.00280243	0.0266231
710	3	2.00243	0.790658	1.76755	0.928505	0.0362117	0.00278552	0.0324977
720	3	1.8509	0.778957	1.72531	0.931966	0.0340168	0.00232992	0.0316869
730	3	1.66822	0.778649	1.72254	0.926784	0.0347544	0.00231696	0.0361446
740	3	1.53609	0.767779	1.65042	0.928936	0.0399443	0.00278681	0.0283326
750	4	1.47422	0.760992	1.61099	0.928936	0.0376219	0.00232234	0.0311194
760	3	1.53738	0.754609	1.6299	0.942507	0.0311027	0.00235627	0.0240339
770	4	1.34557	0.751066	1.48386	0.926355	0.0398333	0.000926355	0.0328856
780	4	1.49214	0.740878	1.56246	0.925926	0.0361111	0.00185185	0.0361111
790	4	1.45111	0.733083	1.48491	0.927644	0.0398887	0.000927644	0.0315399
800	4	1.42517	0.722991	1.50482	0.923361	0.0424746	0.00138504	0.0327793
810	3	1.3729	0.714964	1.4366	0.926784	0.0352178	0.00370714	0.034291
820	4	1.34749	0.707345	1.43474	0.917011	0.043558	0.00137552	0.0380559
830	3	1.2741	0.69967	1.38157	0.928074	0.0426914	0.00232019	0.0269142
840	3	1.30212	0.688205	1.3825	0.917431	0.0426606	0.00137615	0.0385321
850	5	1.29952	0.683127	1.41567	0.913659	0.0461398	0.000913659	0.0392873
860	4	1.27288	0.682369	1.38427	0.907853	0.043123	0.00363141	0.0453926
870	5	1.28241	0.67758	1.36889	0.915751	0.0526557	0.00137363	0.0302198
880	6	1.29998	0.672867	1.36616	0.914077	0.0402194	0.00319927	0.0425046
890	5	1.32045	0.664363	1.38708	0.921234	0.0350069	0.00138185	0.0423768
900	6	1.38955	0.66385	1.40032	0.91659	0.0384968	0.00366636	0.0412466
910	7	1.5174	0.671968	1.4296	0.917011	0.0440165	0.00229253	0.0366804
920	6	1.82307	0.694923	1.54727	0.918274	0.0344353	0.00183655	0.0454545
930	5	2.17936	0.715406	1.64528	0.928505	0.0343547	0.00278552	0.0343547
940	7	2.50372	0.726015	1.70276	0.911162	0.0428246	0.00364465	0.042369
950	6	2.79004	0.738589	1.71865	0.931966	0.028891	0.00139795	0.0377446
960	6	3.44206	0.764893	1.80161	0.928074	0.0348028	0.000928074	0.0361949
970	6	3.65305	0.79211	1.88241	0.931099	0.0353818	0.0027933	0.0307263
980	5	3.66946	0.792219	1.86813	0.932836	0.0298507	0.00326493	0.0340485
990	6	3.90974	0.802355	1.89956	0.939408	0.0305308	0.00234852	0.0277125
1000	5	3.96125	0.797761	1.89644	0.930665	0.036296	0.001396	0.0316426
1010	6	3.80194	0.813917	1.87872	0.950119	0.0223278	0.0023753	0.0251781
1020	6	3.8794	0.819503	1.89439	0.928936	0.0408732	0.00185787	0.0283326
1030	5	3.55295	0.841503	1.91843	0.939408	0.0324096	0.00140911	0.0267731
1040	6	3.48211	0.842207	1.90018	0.947418	0.0298437	0.000473709	0.0222643
1050	5	3.57852	0.832	1.89713	0.936768	0.0309133	0.0028103	0.0295082
1060	6	3.20757	0.851798	1.9324	0.942063	0.0282619	0.00329722	0.0263778
1070	6	3.00635	0.856925	1.91178	0.938967	0.0328638	0.0028169	0.0253521
1080	6	2.74819	0.860134	1.8819	0.942507	0.0301602	0.00235627	0.0249764
1090	6	2.32533	0.864403	1.8275	0.946522	0.0354946	0.00141978	0.0165641
1100	5	2.11997	0.86287	1.82428	0.940734	0.0376294	0.00329257	0.0183443
1110	4	1.92448	0.866873	1.781	0.94518	0.0316635	0.00283554	0.0203214
1120	5	2.2287	0.855915	1.80002	0.935016	0.0402057	0.000935016	0.0238429
1130	5	2.068	0.855525	1.77818	0.944287	0.0311615	0.00377715	0.0207743
1140	6	2.05304	0.850461	1.78584	0.940734	0.0343368	0.00188147	0.023048
1150	6	2.07392	0.850413	1.78638	0.95057	0.0275665	0.00142586	0.0204373
1160	5	2.00759	0.846752	1.75518	0.93985	0.0357143	0.00234962	0.0220865
1170	6	2.07348	0.845849	1.92055	0.93633	0.0351124	0.00234082	0.0262172
1180	6	2.12802	0.842177	1.77442	0.94518	0.0373346	0.00283554	0.0146503
1190	4	2.08069	0.837777	1.75885	0.940734	0.0324553	0.0014111	0.0253998
1200	4	1.89989	0.827657	1.73434	0.933707	0.0378151	0.00466853	0.0238095
1210	5	1.90158	0.816915	1.70127	0.934143	0.0382999	0.00140121	0.026156
1220	3	1.89802	0.809005	1.67469	0.945626	0.03026	0.00236407	0.0217494
1230	5	1.94506	0.807967	1.70207	0.935891	0.0369677	0.00233973	0.0248011
1240	4	1.96269	0.802374	1.70159	0.932836	0.0382463	0.00326493	0.025653
1250	3	1.95189	0.794544	1.6834	0.937207	0.0309278	0.00140581	0.0304592
1260	3	1.87915	0.789186	1.65658	0.946522	0.0293422	0.000946522	0.0231898
1270	3	1.95008	0.78561	1.69483	0.936768	0.0327869	0.00187354	0.0285714
1280	4	2.14368	0.784381	1.7072	0.938086	0.032364	0.000938086	0.0286116
1290	4	2.23752	0.779357	1.73435	0.932836	0.0321828	0.00186567	0.0331157
1300	3	2.24829	0.775326	1.73902	0.927644	0.033859	0.00231911	0.0361781
1310	5	2.49593	0.778485	1.76197	0.929368	0.0376394	0.0027881	0.0302045
1320	5	2.63527	0.776539	1.79496	0.930233	0.0316279	0.00139535	0.0367442
1330	3	2.54977	0.768125	1.78728	0.932836	0.0307836	0.00186567	0.0345149
1340	3	2.39991	0.765408	1.70671	0.935891	0.034628	0.00374357	0.025737
1350	3	2.28219	0.76064	1.70838	0.937207	0.0276476	0.00234302	0.0328022
1360	3	2.27799	0.767575	1.69148	0.931966	0.0330848	0.00186393	0.0330848
1370	3	2.48714	0.76747	1.73755	0.921234	0.0377706	0.000460617	0.0405343
1380	3	2.57114	0.768024	1.74412	0.930233	0.0353488	0.0027907	0.0316279
1390	5	2.69888	0.766449	1.74577	0.925069	0.0305273	0.00231267	0.0420907
1400	4	2.64367	0.759464	1.74201	0.924642	0.0416089	0.000924642	0.0328248
1410	4	2.42762	0.772648	1.71385	0.926355	0.0347383	0.00277906	0.0361278
1420	3	2.33291	0.773835	1.70357	0.933707	0.0336134	0.00186741	0.0308123
1430	3	2.19093	0.777064	1.69702	0.927644	0.0361781	0.00231911	0.033859
1440	4	2.04639	0.784222	1.66754	0.931099	0.0349162	0.000465549	0.0335196
1450	4	1.99082	0.783117	1.65726	0.927644	0.0361781	0.00324675	0.0329314
1460	3	2.0766	0.775281	1.65603	0.926784	0.0370714	0.000926784	0.0352178
1470	4	1.92233	0.776012	1.64767	0.923361	0.0397045	0.0023084	0.034626
1480	3	1.80782	0.776864	1.60564	0.930233	0.0362791	0.00186047	0.0316279
1490	4	1.76595	0.770785	1.60174	0.928936	0.0371575	0.00278681	0.0311194
1500	4	1.69844	0.767771	1.58437	0.925926	0.037037	0.00324074	0.0337963
1510	4	1.67533	0.761961	1.55762	0.938086	0.0351782	0.000938086	0.0257974
1520	3	1.62812	0.755433	1.5357	0.928074	0.0348028	0.00324826	0.0338747
1530	3	1.39344	0.757113	1.47495	0.930233	0.0367442	0.00372093	0.0293023
1540	3	1.50532	0.746602	1.50268	0.930665	0.0390879	0.00186133	0.0283853
1550	5	1.51654	0.740639	1.51339	0.923361	0.0429363	0.0023084	0.0313943
1560	4	1.4047	0.738205	1.46596	0.927214	0.0366249	0.00185443	0.0343069
1570	4	1.39316	0.731439	1.48261	0.909504	0.047749	0.00136426	0.0413824
1580	4	1.39736	0.721695	1.43129	0.927644	0.0361781	0.00139147	0.0347866
1590	3	1.39353	0.714212	1.44392	0.924642	0.0314378	0.00138696	0.0425335
1600	3	1.44577	0.705927	1.44489	0.917431	0.0357798	0.00275229	0.0440367
1610	5	1.3792	0.700472	1.42383	0.917852	0.0440569	0.00229463	0.0357962
1620	5	1.38751	0.693149	1.4334	0.912409	0.0442518	0.00228102	0.0410584
1630	6	1.40198	0.686654	1.41063	0.911993	0.0410397	0.00182399	0.0451436
1640	5	1.20133	0.682726	1.34274	0.905387	0.0439113	0.00181077	0.0488909
1650	4	1.17711	0.672808	1.30734	0.907441	0.0431034	0.00136116	0.0480944
1660	4	1.2342	0.669431	1.32432	0.906618	0.0503173	0.00226655	0.0407978
1670	3	1.22219	0.658133	1.29702	0.913242	0.0374429	0.00228311	0.047032
1680	4	1.27834	0.656416	1.31404	0.902527	0.049639	0.00180505	0.0460289
1690	4	1.43132	0.667879	1.37982	0.904568	0.046133	0.00180914	0.0474898
1700	3	1.55689	0.681436	1.44124	0.914913	0.037054	0.000914913	0.047118
1710	3	1.79085	0.692166	1.51475	0.911162	0.0400911	0.0022779	0.0464692
1720	3	2.00449	0.715013	1.68157	0.914077	0.0425046	0.00457038	0.0388483
1730	3	2.01495	0.717687	1.58584	0.921659	0.037788	0.00276498	0.037788
1740	3	1.90428	0.702645	1.55771	0.918695	0.0404226	0.00229674	0.0385852
1750	4	2.03469	0.73351	1.61378	0.9298	0.0269642	0.0013947	0.041841
1760	5	2.04952	0.764211	1.64341	0.931966	0.0344828	0.000931966	0.0326188
1770	5	1.92724	0.782888	1.61261	0.933271	0.034531	0.00233318	0.0298647
1780	4	1.87653	0.795003	1.63061	0.934579	0.0383178	0.00140187	0.0257009
1790	4	1.60104	0.839908	1.63454	0.94518	0.0354442	0.00330813	0.0160681
1800	4	1.45887	0.851643	1.58743	0.937207	0.0454545	0.00140581	0.0159325
1810	6	1.56648	0.838527	1.61933	0.93985	0.0380639	0.00140977	0.0206767
1820	4	1.5102	0.840265	1.61132	0.940734	0.0352775	0.00329257	0.0206961
1830	3	1.405	0.846338	1.59074	0.937207	0.0393627	0.00234302	0.0210872
1840	3	1.36006	0.850414	1.57241	0.940734	0.0380997	0.00376294	0.0174036
1850	3	1.43328	0.845595	1.59278	0.93985	0.0380639	0.00234962	0.0197368
1860	3	1.49166	0.851509	1.64738	0.946074	0.0354778	0.000473037	0.0179754
1870	4	1.68646	0.850638	1.69964	0.954198	0.0295802	0.0023855	0.0138359
1880	3	1.70369	0.857527	1.70262	0.948317	0.0327169	0.00189663	0.0170697
1890	3	1.80875	0.857614	1.73735	0.944733	0.037317	0.00236183	0.0155881
1900	3	1.86526	0.854798	1.78036	0.937647	0.0389123	0.00281294	0.0206282
1910	4	1.83325	0.85041	1.74969	0.945626	0.0349882	0.00189125	0.0174941
1920	4	1.91023	0.849816	1.78856	0.940734	0.0329257	0.0028222	0.0235183
1930	4	1.86601	0.83848	1.7281	0.941176	0.0329412	0.00282353	0.0230588
1940	3	1.84343	0.833552	1.73156	0.94518	0.0278828	0.00094518	0.0259924
1950	2	1.88486	0.830825	1.72861	0.948767	0.028463	0.00237192	0.0203985
1960	2	1.90815	0.825244	1.71025	0.932401	0.0382284	0.0032634	0.0261072
1970	2	1.843	0.812821	1.69168	0.93985	0.0319549	0.0018797	0.0263158
1980	4	1.93373	0.813633	1.69589	0.941176	0.0348235	0.00235294	0.0216471
1990	4	1.98323	0.812605	1.73209	0.933707	0.0340803	0.00280112	0.0294118
2000	4	1.98013	0.807093	1.71833	0.933271	0.0363976	0.00233318	0.0279981
2010	4	2.00614	0.80919	1.74505	0.934579	0.0401869	0.00327103	0.0219626
2020	3	2.00266	0.807576	1.73254	0.934143	0.0364316	0.0032695	0.026156
2030	3	1.94616	0.805941	1.69276	0.942063	0.030146	0.00141309	0.0263778
2040	2	1.93994	0.797551	1.74526	0.937207	0.0342081	0.00140581	0.027179
2050	3	1.96674	0.788372	1.69327	0.928936	0.0339062	0.00325128	0.0339062
2060	4	1.95166	0.783659	1.70633	0.933271	0.0359309	0.00139991	0.029398
2070	2	1.97281	0.772115	1.66325	0.934579	0.0317757	0.00233645	0.0313084
2080	4	1.93282	0.769463	1.65539	0.929368	0.0422862	0.00185874	0.026487
2090	3	1.95794	0.761151	1.67653	0.921234	0.0345463	0.00322432	0.0409949
2100	2	1.90091	0.759714	1.63051	0.928505	0.036676	0.00464253	0.0301764
2110	3	1.80929	0.757431	1.58464	0.934579	0.0336449	0.00046729	0.0313084
2120	2	1.68254	0.7555	1.5796	0.9298	0.0367271	0.0013947	0.0320781
2130	4	1.70502	0.748143	1.61129	0.917431	0.0394495	0.00183486	0.0412844
2140	2	1.52231	0.748393	1.54789	0.932401	0.0382284	0.0032634	0.0261072
2150	2	1.4471	0.743943	1.50197	0.926355	0.0384437	0.00277906	0.0324224
2160	3	1.39916	0.737505	1.48162	0.922509	0.0447417	0.00276753	0.0299815
2170	5	1.36341	0.734728	1.4784	0.923361	0.0415512	0.0023084	0.0327793
