Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999516	1.4087	0.943396	0.0433962	0.00283019	0.0103774
10	1	1	0.994655	1.48713	0.951475	0.0385347	0.00142721	0.00856327
20	2	1.00401	0.989745	1.46304	0.950119	0.0389549	0.00190024	0.00902613
30	3	1.00905	0.984364	1.40972	0.947867	0.0421801	0	0.00995261
40	2	1.00301	0.979038	1.44083	0.954198	0.0343511	0.0028626	0.00858779
50	2	1.00502	0.972762	1.45627	0.944287	0.0429651	0.003305	0.00944287
60	3	1.02335	0.967595	1.45621	0.945626	0.0449173	0.00283688	0.00661939
70	4	1.02028	0.962386	1.46797	0.934143	0.0518449	0.00140121	0.0126109
80	3	1.0223	0.956407	1.45398	0.937647	0.0436006	0.00468823	0.0140647
90	4	1.01007	0.949999	1.44378	0.944287	0.0410765	0.003305	0.0113314
100	3	1.00804	0.943863	1.42103	0.946522	0.0416469	0.00141978	0.0104117
110	1	1	0.937746	1.42475	0.933271	0.0508633	0.00233318	0.0135324
120	1	1	0.932636	1.42461	0.934143	0.0485754	0.00280243	0.0144792
130	2	1.00301	0.926868	1.40973	0.941176	0.0447059	0.00141176	0.0127059
140	2	1.002	0.920002	1.40213	0.94697	0.0355114	0.000473485	0.0170455
150	1	1	0.912295	1.39289	0.941176	0.0418824	0.00282353	0.0141176
160	1	1	0.906377	1.40239	0.949217	0.0355956	0.00142383	0.0137636
170	3	1.00603	0.898879	1.41938	0.933707	0.0452848	0.00326797	0.0177404
180	2	1.01006	0.893226	1.39535	0.938086	0.0408068	0.00234522	0.0187617
190	2	1.04499	0.888296	1.49621	0.927644	0.0510204	0.00185529	0.0194805
200	4	1.09097	0.883759	1.48182	0.931532	0.0461109	0.00232883	0.0200279
210	3	1.08495	0.877032	1.46206	0.926355	0.0528022	0.00231589	0.0185271
220	3	1.0623	0.868661	1.40689	0.93985	0.0390038	0.00234962	0.018797
230	4	1.08198	0.863256	1.42073	0.932836	0.0461754	0.00419776	0.016791
240	4	1.10649	0.857172	1.44256	0.923788	0.0526559	0.00184758	0.021709
250	6	1.13814	0.852642	1.4523	0.938086	0.0370544	0.00187617	0.0229831
260	4	1.18593	0.846828	1.48187	0.926355	0.0440019	0.00370542	0.0259379
270	5	1.29379	0.842014	1.52977	0.931532	0.0363298	0.00558919	0.0265487
280	5	1.22793	0.832646	1.50511	0.931099	0.0405028	0.00418994	0.0242086
290	5	1.15386	0.818068	1.43099	0.927214	0.0454335	0.00185443	0.0254984
300	5	1.17878	0.81071	1.4256	0.93633	0.0383895	0.00140449	0.0238764
310	5	1.28628	0.809119	1.47597	0.933271	0.0382641	0.00279981	0.025665
320	6	1.40843	0.807333	1.52611	0.931532	0.0377271	0.00232883	0.0284117
330	8	1.44104	0.80295	1.53582	0.923788	0.0318707	0.00369515	0.0406467
340	7	1.57842	0.800192	1.61069	0.910332	0.0441511	0.00182066	0.0436959
350	6	1.6672	0.796041	1.61695	0.917011	0.0371389	0.00550206	0.0403485
360	8	1.92641	0.800139	1.69646	0.918274	0.040404	0.00367309	0.0376492
370	6	2.16131	0.802179	1.68412	0.917431	0.0376147	0.000458716	0.0444954
380	6	2.57851	0.809946	1.76894	0.91659	0.0334555	0.00412466	0.0458295
390	6	2.94728	0.817877	1.81562	0.918274	0.0381084	0.000918274	0.0426997
400	6	3.0991	0.815784	1.8064	0.930233	0.0288372	0.00186047	0.0390698
410	6	2.98031	0.807065	1.76297	0.928936	0.0320483	0.00232234	0.036693
420	8	3.60887	0.822674	1.83045	0.926784	0.0268767	0.00231696	0.0440222
430	6	3.90083	0.831789	1.88398	0.911993	0.0296398	0.00273598	0.0556316
440	6	4.06457	0.841805	1.87555	0.926784	0.0301205	0.00139018	0.0417053
450	6	3.80327	0.847398	1.84628	0.932401	0.0317016	0.0018648	0.0340326
460	7	3.36242	0.861114	1.84967	0.930233	0.0297674	0.00418605	0.035814
470	7	2.88497	0.867507	1.83573	0.925069	0.0383904	0.00462535	0.0319149
480	8	3.14307	0.863962	1.87011	0.922935	0.0299954	0.00323027	0.0438394
490	8	3.06179	0.860118	1.8173	0.93985	0.0305451	0.0018797	0.0277256
500	9	2.70594	0.874594	1.83367	0.921234	0.03731	0.00184247	0.0396131
510	9	2.57582	0.875001	1.82578	0.932401	0.0368298	0.0018648	0.0289044
520	9	2.53233	0.87058	1.86637	0.925497	0.0314669	0.00231374	0.0407219
530	11	2.50446	0.863951	1.8116	0.927644	0.0324675	0.00278293	0.0371058
540	9	2.50414	0.858448	1.76803	0.938527	0.0314406	0.00234632	0.0276865
550	9	2.48854	0.855814	1.85619	0.934143	0.0275572	0.00233536	0.0359645
560	9	2.60549	0.848356	1.82379	0.927214	0.0273528	0.00324525	0.0421882
570	8	2.34831	0.845248	1.76412	0.926784	0.0393883	0.00185357	0.0319741
580	8	2.298	0.834185	1.78576	0.925926	0.0347222	0.00277778	0.0365741
590	8	2.02588	0.830278	1.77374	0.928936	0.0320483	0.00232234	0.036693
600	8	2.00059	0.824814	1.73542	0.930233	0.0339535	0.00511628	0.0306977
610	5	1.89179	0.81794	1.84929	0.927214	0.0380158	0.00231803	0.0324525
620	6	1.89236	0.812938	1.69362	0.936768	0.0346604	0.00187354	0.0266979
630	8	2.01914	0.808178	1.94663	0.925069	0.0342276	0.00277521	0.0379278
640	6	1.94666	0.802966	1.66737	0.926355	0.0361278	0.00370542	0.0338119
650	5	2.22375	0.800588	1.6805	0.928074	0.037123	0.00139211	0.0334107
660	6	2.14851	0.796309	1.66379	0.922084	0.0401107	0.00138313	0.0364223
670	6	2.30894	0.794347	1.70406	0.927644	0.0320037	0.00371058	0.0366419
680	7	2.48216	0.789689	1.72752	0.934579	0.0275701	0.00373832	0.0341121
690	6	2.47328	0.785621	1.74451	0.91659	0.0334555	0.00412466	0.0458295
700	6	2.60882	0.779695	1.71405	0.918274	0.033517	0.00183655	0.0463728
710	7	2.46859	0.772807	1.73492	0.909918	0.0354868	0.00363967	0.0509554
720	6	2.31652	0.765266	1.66773	0.91617	0.0348145	0.00503894	0.0439762
730	6	2.34643	0.762577	1.70234	0.911162	0.0410023	0.00364465	0.0441913
740	7	2.28323	0.754672	1.66354	0.91659	0.0389551	0.00274977	0.0417049
750	6	2.41423	0.758226	1.67824	0.915751	0.0380037	0.00228938	0.043956
760	7	2.44526	0.75373	1.68472	0.915332	0.0352403	0.002746	0.0466819
770	7	2.59706	0.750288	1.78042	0.91617	0.0316079	0.00091617	0.0513055
780	7	2.77133	0.755072	1.8146	0.911162	0.0350797	0.0022779	0.0514806
790	7	2.95646	0.760436	1.73246	0.907853	0.0417612	0.00272356	0.0476623
800	7	3.41881	0.779745	1.77319	0.920387	0.0299126	0.00138058	0.0483203
810	11	3.72541	0.790934	1.83362	0.920387	0.0312931	0.00322135	0.0450989
820	8	3.83009	0.781521	1.862	0.90212	0.0401443	0.00360848	0.0541272
830	8	3.96876	0.7885	1.84624	0.919963	0.0317387	0.00367985	0.0446182
840	7	3.99145	0.807411	1.8711	0.922935	0.0304569	0.000461467	0.0461467
850	7	4.03263	0.811144	1.82783	0.931099	0.0270019	0.00418994	0.0377095
860	7	3.77212	0.818629	1.85599	0.924214	0.0309612	0.00415896	0.0406654
870	5	3.6663	0.821562	1.85346	0.931532	0.0288775	0.000931532	0.0386586
880	5	3.35724	0.834135	1.88022	0.925926	0.0347222	0.00277778	0.0365741
890	5	3.25033	0.83326	1.82454	0.927214	0.0305981	0.00278164	0.0394066
900	5	3.56206	0.830943	1.85538	0.921234	0.0354675	0.000921234	0.0423768
910	5	3.20101	0.84212	1.85959	0.927644	0.0306122	0.00278293	0.038961
920	5	3.28151	0.840791	1.88394	0.925926	0.0319444	0.00138889	0.0407407
930	5	3.24825	0.837638	1.86794	0.921234	0.0340857	0.00322432	0.0414556
940	5	3.09499	0.834365	1.8568	0.926355	0.0328856	0.00231589	0.0384437
950	5	3.22971	0.83598	1.83234	0.933271	0.034531	0.00233318	0.0298647
960	5	3.33917	0.840581	4.4847	0.924214	0.0318854	0.00184843	0.0420518
970	7	3.30589	0.839286	2.49767	0.931099	0.0335196	0.0018622	0.0335196
980	9	3.03385	0.843558	2.17793	0.926784	0.0287303	0.00278035	0.0417053
990	7	2.9868	0.837633	1.98792	0.937207	0.0309278	0.00187441	0.0299906
1000	5	2.91733	0.835996	1.85484	0.923788	0.0318707	0.00323326	0.0411085
1010	5	2.94379	0.829593	1.79658	0.933271	0.029398	0.00279981	0.034531
1020	5	2.9143	0.82728	1.84746	0.923361	0.0313943	0.00415512	0.0410896
1030	8	2.75969	0.832414	1.80112	0.932836	0.0307836	0.00139925	0.0349813
1040	6	2.77489	0.825247	1.7743	0.937207	0.0267104	0.000937207	0.0351453
1050	7	2.65397	0.827121	1.81523	0.920387	0.0368155	0.00276116	0.0400368
1060	6	2.68124	0.81799	1.76549	0.931966	0.0293569	0.00232992	0.0363467
1070	5	2.66666	0.810643	1.74813	0.927644	0.0315399	0.00371058	0.0371058
1080	6	2.44602	0.810766	1.77756	0.925497	0.0333179	0.000462749	0.0407219
1090	7	2.41577	0.807685	1.83215	0.918695	0.0312356	0.00367478	0.0463941
1100	9	2.30881	0.80845	1.77673	0.921234	0.0345463	0.00414556	0.0400737
1110	6	2.21035	0.802335	1.69284	0.930665	0.0316426	0.00232666	0.0353653
1120	7	2.14972	0.795062	1.72073	0.922935	0.0336871	0.00369174	0.0396862
1130	4	2.00059	0.793001	1.69089	0.913659	0.0388305	0.00319781	0.0443125
1140	4	2.019	0.788169	1.76495	0.922509	0.0387454	0.00184502	0.0369004
1150	4	1.98681	0.78114	1.76019	0.917431	0.0380734	0.00183486	0.0426606
1160	5	1.87219	0.774988	2.28081	0.928505	0.0329619	0.000928505	0.0376045
1170	5	1.85767	0.768793	2.02223	0.918695	0.0395039	0.00183739	0.0399633
1180	6	1.84426	0.76456	1.78746	0.918695	0.0372072	0.00137804	0.0427193
1190	6	1.62674	0.763527	1.60703	0.926784	0.0319741	0.00278035	0.0384615
1200	7	1.48236	0.761696	1.51401	0.925069	0.03284	0.00231267	0.039778
1210	8	1.40133	0.75934	1.49002	0.918274	0.0413223	0.00229568	0.0381084
1220	8	1.38842	0.761696	1.49411	0.911993	0.0446876	0.00364797	0.0396717
1230	7	1.41747	0.761222	1.48827	0.926355	0.0338119	0.00231589	0.0375174
1240	7	1.53635	0.760212	1.52649	0.914913	0.0452882	0.000457457	0.0393413
1250	7	1.60129	0.758618	1.5377	0.918274	0.0431589	0.00229568	0.0362718
1260	9	1.74192	0.762075	1.59591	0.914495	0.0402378	0.00137174	0.0438957
1270	8	1.78418	0.753957	1.58514	0.918695	0.0326137	0.00229674	0.0463941
1280	8	1.87886	0.748861	1.59364	0.918274	0.0431589	0.00229568	0.0362718
1290	8	1.87925	0.750881	2.2359	0.92081	0.0349908	0.00276243	0.0414365
1300	8	2.17196	0.765109	2.11123	0.92081	0.0345304	0.00138122	0.0432781
1310	8	2.51982	0.779571	1.99287	0.912409	0.0383212	0.00228102	0.0469891
1320	8	2.86318	0.780803	1.87476	0.930233	0.0302326	0.00232558	0.0372093
1330	8	3.20075	0.802075	1.8487	0.933707	0.0233427	0.00233427	0.0406162
1340	10	2.99916	0.822644	1.82726	0.921234	0.0336251	0.00322432	0.0419162
