Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.99949	1.57257	0.954198	0.0372137	0.00429389	0.00429389
10	12	1.02963	0.994596	1.63182	0.949668	0.0394112	0.00189934	0.00902184
20	17	1.07597	0.988685	1.65084	0.951022	0.0399429	0.00190204	0.00713267
30	15	1.09164	0.984076	1.64183	0.949668	0.0394112	0.002849	0.00807217
40	15	1.11568	0.979044	1.68853	0.948767	0.0412713	0.000948767	0.00901328
50	19	1.13959	0.973491	1.72714	0.944733	0.0420406	0.00188947	0.0113368
60	19	1.15309	0.967498	1.6733	0.951928	0.0366492	0.00190386	0.00951928
70	15	1.21769	0.962881	1.73295	0.951022	0.0351878	0.00190204	0.0118878
80	13	1.21769	0.956296	1.77005	0.938527	0.0473956	0.00234632	0.0117316
90	16	1.23016	0.951021	1.71008	0.94697	0.0359848	0.00236742	0.014678
100	17	1.32616	0.94685	1.81035	0.949217	0.0374941	0.000949217	0.0123398
110	20	1.3826	0.942423	1.78197	0.950119	0.0365796	0.0023753	0.0109264
120	19	1.34096	0.936448	1.77154	0.948767	0.0341556	0.0028463	0.0142315
130	17	1.31563	0.931532	1.72753	0.954654	0.0315036	0.00238663	0.0114558
140	22	1.45997	0.927111	1.81428	0.93633	0.0440075	0.00374532	0.0159176
150	16	1.399	0.919718	1.77638	0.951022	0.0318592	0.00237756	0.0147408
160	19	1.5134	0.916218	1.84555	0.93633	0.0430712	0.00280899	0.0177903
170	21	1.3784	0.90787	1.79618	0.943841	0.0330345	0.00424729	0.0188768
180	24	1.38837	0.903036	1.74163	0.94162	0.0367232	0.00423729	0.01742
190	26	1.51543	0.899418	1.85479	0.946522	0.0359678	0.00331283	0.0141978
200	24	1.64621	0.897961	1.84088	0.947867	0.0350711	0.0014218	0.0156398
210	18	2.0031	0.900793	1.95005	0.951928	0.0299857	0.000475964	0.0176107
220	21	2.24594	0.899036	1.95593	0.942507	0.0362865	0.00141376	0.0197926
230	23	2.23605	0.893863	1.9809	0.95057	0.0342205	0.00095057	0.0142586
240	22	2.41107	0.89316	2.03853	0.943396	0.0287736	0.00330189	0.0245283
250	19	2.90091	0.891922	2.05917	0.934579	0.0369159	0.00233645	0.0261682
260	20	3.50962	0.891946	2.07336	0.945626	0.0245863	0.00425532	0.0255319
270	25	3.70873	0.891004	2.13969	0.938086	0.0295497	0.00375235	0.0286116
280	22	3.9147	0.887298	2.15294	0.935891	0.0308844	0.00374357	0.0294806
290	20	4.41204	0.887136	2.14745	0.948767	0.0213472	0.00142315	0.028463
300	26	4.7486	0.885733	2.14332	0.937647	0.0309423	0.00234412	0.029067
310	28	4.22893	0.877818	2.11696	0.938967	0.0333333	0.00422535	0.0234742
320	26	4.82417	0.877808	2.14855	0.939408	0.0258337	0.00234852	0.0324096
330	24	4.96904	0.878008	2.14612	0.946522	0.0231898	0.00283956	0.0274491
340	24	6.08139	0.879818	2.21019	0.946522	0.0255561	0.00189304	0.0260293
350	27	5.23251	0.872019	2.17126	0.943841	0.024068	0.00283152	0.0292591
360	31	6.36035	0.877614	2.28782	0.939408	0.0281822	0.00422734	0.0281822
370	27	7.38847	0.88149	2.22215	0.940734	0.0268109	0.00188147	0.0305738
380	29	8.148	0.879553	2.23947	0.946522	0.023663	0.00283956	0.0269759
390	35	9.41407	0.882142	2.25824	0.936768	0.0299766	0.00140515	0.0318501
400	32	8.01661	0.872536	2.20214	0.946074	0.0288553	0.00283822	0.0222327
410	32	7.85731	0.867525	2.19325	0.938967	0.028169	0.00140845	0.0314554
420	28	8.54096	0.867429	2.30032	0.947867	0.0222749	0.0014218	0.028436
430	31	8.88251	0.864076	2.25904	0.945626	0.0212766	0.00141844	0.0316785
440	28	9.46272	0.865771	2.25398	0.941176	0.0296471	0.00188235	0.0272941
450	26	10.8587	0.874697	2.30111	0.936768	0.0323185	0.00234192	0.0285714
460	30	11.3934	0.872819	2.30168	0.942507	0.0282752	0.000942507	0.0282752
470	26	12.6746	0.874947	2.30011	0.947867	0.0180095	0.000473934	0.0336493
480	35	14.0646	0.886267	2.28782	0.951022	0.0237756	0.00237756	0.0228245
490	32	13.2161	0.882487	2.32426	0.942951	0.0268741	0.00377181	0.0264026
500	29	13.1715	0.892536	2.34025	0.947867	0.0236967	0.0028436	0.0255924
510	30	10.1825	0.889372	2.42127	0.93633	0.0285581	0.00327715	0.0318352
520	36	9.09106	0.894687	2.28625	0.95057	0.023289	0	0.0261407
530	34	8.48406	0.900276	2.28389	0.942063	0.0277909	0.00188413	0.0282619
540	39	10.0612	0.896698	2.31257	0.948767	0.0208729	0.000474383	0.0298861
550	36	9.65178	0.891483	2.27051	0.943396	0.0306604	0.00235849	0.0235849
560	37	8.85095	0.887863	2.28602	0.939408	0.0244246	0.00187882	0.0342884
570	32	6.98845	0.891049	2.2591	0.944733	0.0240907	0.00377893	0.0273973
580	30	6.78536	0.890911	2.24147	0.943396	0.0278302	0.00235849	0.0264151
590	31	7.54656	0.892145	2.34536	0.937207	0.0304592	0.00328022	0.0290534
600	31	7.71243	0.887506	2.28195	0.953289	0.0224023	0.00142993	0.0228789
610	28	7.19159	0.885852	2.22477	0.948317	0.0256046	0.00189663	0.0241821
620	27	8.15489	0.886675	2.25546	0.938527	0.0319099	0.00140779	0.0281558
630	30	8.02671	0.884165	2.21782	0.951475	0.0195052	0.00142721	0.0275928
640	34	9.36836	0.887391	2.26381	0.946522	0.0227165	0.00331283	0.0274491
650	34	8.1632	0.885761	2.29869	0.935891	0.0327562	0.00233973	0.0290126
660	32	7.75724	0.883691	2.19633	0.942063	0.0310881	0.00376825	0.0230805
670	30	8.28056	0.876961	2.30847	0.95057	0.023289	0.00190114	0.0242395
680	37	6.91225	0.877148	2.2084	0.946074	0.0274361	0.00141911	0.025071
690	28	8.08904	0.88259	2.33243	0.93985	0.0197368	0.0037594	0.0366541
700	30	8.56034	0.885072	2.29593	0.926784	0.0370714	0.00417053	0.0319741
710	28	9.73665	0.889706	2.25568	0.942951	0.0264026	0.0018859	0.02876
720	32	10.0417	0.894894	2.55611	0.943841	0.0226522	0.0023596	0.0311468
730	31	10.8437	0.894565	2.32577	0.936768	0.0332553	0.00187354	0.028103
740	35	9.80508	0.887288	2.28201	0.943396	0.0231132	0.00235849	0.0311321
750	29	9.07234	0.882714	2.28114	0.936768	0.0290398	0.00234192	0.0318501
760	28	8.59462	0.879292	2.28503	0.940734	0.0286924	0.00376294	0.0268109
770	29	8.57393	0.880141	2.28174	0.937207	0.0299906	0.00328022	0.029522
780	29	8.22554	0.878197	2.19928	0.940291	0.0272685	0.00282087	0.0296192
790	28	8.14301	0.877511	2.21462	0.93985	0.0277256	0.00234962	0.0300752
800	25	9.1659	0.881001	2.27199	0.948317	0.0227596	0.000948317	0.0279753
810	23	8.17028	0.879619	2.16986	0.950119	0.0209026	0.00190024	0.0270784
820	26	8.22114	0.880805	2.25443	0.933271	0.0335978	0.00139991	0.0317312
830	28	7.6709	0.883543	2.23572	0.946074	0.0279092	0.000473037	0.025544
840	28	8.41614	0.891153	2.25909	0.942507	0.0301602	0.00235627	0.0249764
850	31	8.11743	0.897181	2.27947	0.945626	0.0260047	0.00141844	0.0269504
860	26	7.79988	0.89767	2.26076	0.952381	0.0257143	0.000952381	0.0209524
870	27	7.58822	0.888247	2.26804	0.939408	0.0277125	0.00234852	0.0305308
880	28	7.85094	0.886986	2.21732	0.942507	0.0301602	0.00329877	0.0240339
890	30	9.81322	0.885814	2.25108	0.942507	0.027804	0.00282752	0.0268615
900	26	10.4103	0.881985	2.2651	0.941176	0.0225882	0.00235294	0.0338824
910	35	12.5023	0.880194	2.32144	0.952381	0.022381	0.00380952	0.0214286
920	31	13.5265	0.889347	2.26469	0.94697	0.0269886	0.00236742	0.0236742
930	32	13.0713	0.884253	2.25497	0.943396	0.025	0.00283019	0.0287736
940	36	13.4566	0.880419	2.34457	0.939408	0.0239549	0.00375763	0.0328793
950	36	12.8006	0.876033	2.31998	0.936768	0.0285714	0.00234192	0.0323185
960	33	12.7411	0.880274	2.2975	0.940291	0.0267983	0.00423131	0.0286789
970	31	12.1913	0.87506	2.26781	0.944733	0.0250354	0.00188947	0.028342
980	28	13.5998	0.877026	2.30204	0.937647	0.0248476	0.00281294	0.0346929
990	28	12.8074	0.890514	2.31849	0.951475	0.0233111	0.00237869	0.0228354
1000	28	12.9007	0.881969	2.28766	0.94697	0.0198864	0.00236742	0.0307765
1010	27	12.2767	0.879275	2.33823	0.944733	0.0250354	0.00236183	0.0278696
1020	26	12.2663	0.884136	2.28773	0.954198	0.0181298	0.0023855	0.0252863
1030	32	11.8291	0.880975	2.27586	0.948317	0.0275012	0.00331911	0.020863
1040	37	12.7341	0.886621	2.3286	0.950119	0.024228	0.0023753	0.0232779
1050	31	12.9501	0.880627	2.34001	0.943841	0.0278433	0.00377537	0.0245399
1060	31	13.0303	0.876461	2.31156	0.94162	0.0258945	0.00376648	0.0287194
1070	33	12.2375	0.873197	2.32819	0.932401	0.0265734	0.0027972	0.0382284
1080	35	11.0293	0.872784	2.29892	0.935016	0.0308555	0.00280505	0.031323
1090	28	10.5255	0.869926	2.33016	0.934143	0.0275572	0.00373657	0.0345633
1100	29	12.6097	0.867594	2.37453	0.942951	0.0259312	0.00141443	0.029703
1110	30	11.7522	0.869768	2.25096	0.93633	0.0304307	0.00234082	0.0308989
1120	29	10.6546	0.869039	2.30018	0.93985	0.0291353	0.00328947	0.0277256
1130	31	10.9475	0.868542	2.28893	0.943396	0.0231132	0.00330189	0.0301887
1140	30	10.2645	0.867509	2.25933	0.938086	0.032833	0.00187617	0.0272045
1150	32	9.44485	0.874884	2.23844	0.93985	0.0300752	0.0037594	0.0263158
1160	29	8.85584	0.867781	2.35565	0.942951	0.0282885	0.0018859	0.0268741
1170	29	8.88435	0.870802	2.28542	0.947867	0.0255924	0.00189573	0.0246445
1180	29	8.8154	0.876122	2.2564	0.94518	0.0316635	0.00141777	0.0217391
1190	34	8.44796	0.86987	2.24875	0.935016	0.031323	0.00187003	0.0317906
1200	34	8.95968	0.877748	2.31751	0.949217	0.0208828	0.00332226	0.0265781
1210	31	7.3697	0.870618	2.26662	0.939408	0.0239549	0.00328793	0.033349
1220	32	6.3918	0.873349	2.24203	0.944733	0.0292867	0.00188947	0.0240907
1230	34	7.52588	0.871155	2.19504	0.94697	0.0265152	0.00284091	0.0236742
1240	36	7.72111	0.871828	2.28205	0.94162	0.0258945	0.00376648	0.0287194
1250	37	8.47364	0.877696	2.28517	0.937647	0.0304735	0.00187529	0.0300047
1260	34	8.28685	0.873325	2.30723	0.948317	0.0237079	0.00237079	0.0256046
1270	34	6.99232	0.861873	2.25599	0.938527	0.0290943	0.00187705	0.0305021
1280	33	8.51292	0.865023	2.30089	0.947867	0.0251185	0.00331754	0.0236967
1290	30	8.98931	0.86539	2.25286	0.927214	0.0324525	0.00231803	0.0380158
1300	34	8.77478	0.865419	2.25941	0.944287	0.0273843	0.00377715	0.0245515
1310	33	9.56553	0.864226	2.25089	0.944287	0.0292729	0.000944287	0.0254958
1320	37	10.1729	0.854926	2.32022	0.935016	0.0247779	0.00233754	0.0378682
1330	27	11.8836	0.858685	2.37902	0.935454	0.036015	0.00280636	0.025725
1340	26	11.2706	0.856097	2.30752	0.942951	0.0226308	0.00424328	0.0301744
1350	31	11.3326	0.857537	2.31277	0.940291	0.029149	0.00188058	0.0286789
1360	34	11.5909	0.859571	2.30434	0.936768	0.0285714	0.00327869	0.0313817
1370	33	11.882	0.863981	2.35371	0.944287	0.0236072	0.003305	0.0288008
1380	39	12.4707	0.868898	2.40982	0.947418	0.0194221	0.00236855	0.0307911
1390	34	9.91485	0.855972	2.31769	0.945626	0.0264775	0.000945626	0.0269504
1400	26	8.79487	0.847343	2.27114	0.938086	0.0257974	0.000469043	0.0356473
1410	33	10.2038	0.858018	2.3267	0.936768	0.0248244	0.00327869	0.0351288
1420	33	9.92697	0.851308	2.31729	0.934579	0.0294393	0.00327103	0.0327103
1430	33	10.2658	0.857635	2.32522	0.946074	0.0231788	0.00141911	0.0293283
1440	31	11.4616	0.861388	2.28199	0.938967	0.0309859	0.00375587	0.0262911
1450	33	11.8521	0.858074	2.26509	0.944733	0.0250354	0.000472367	0.0297591
1460	32	11.9675	0.86353	2.2442	0.942507	0.0207352	0.00329877	0.033459
1470	28	11.69	0.868116	2.21534	0.938967	0.0323944	0.00187793	0.0267606
1480	32	9.23773	0.873755	2.23133	0.948317	0.0241821	0.000474158	0.027027
1490	31	8.72527	0.877304	2.24742	0.940734	0.0263405	0.00235183	0.0305738
1500	36	8.76904	0.876878	2.18914	0.947867	0.0194313	0.00189573	0.0308057
1510	32	9.02321	0.876062	2.26956	0.948317	0.0251304	0.00284495	0.0237079
1520	35	8.91244	0.880105	2.25544	0.942063	0.0287329	0.00188413	0.0273198
1530	36	10.4265	0.882271	2.29765	0.938527	0.0276865	0.00187705	0.0319099
1540	34	11.2081	0.886827	2.20817	0.945626	0.0231678	0.00236407	0.0288416
1550	29	10.588	0.886309	2.29367	0.938967	0.029108	0.00187793	0.0300469
1560	35	10.7777	0.882969	2.33686	0.952835	0.0242973	0.00238209	0.0204859
1570	34	10.4602	0.884822	2.22923	0.943396	0.0231132	0.00235849	0.0311321
1580	34	10.3988	0.890293	2.40132	0.942063	0.0273198	0.00141309	0.029204
1590	31	9.83132	0.889136	2.23472	0.944733	0.023146	0.0042513	0.0278696
1600	27	7.85517	0.884984	2.22442	0.938086	0.0314259	0.00140713	0.0290807
1610	25	7.28474	0.868965	2.19692	0.942063	0.0268488	0.00235516	0.0287329
1620	27	7.86466	0.874334	2.20495	0.94697	0.0279356	0.00284091	0.0222538
1630	23	8.52942	0.874779	2.22749	0.933707	0.0266106	0.00186741	0.0378151
1640	27	8.86035	0.874557	2.23215	0.946522	0.0227165	0.0023663	0.0283956
1650	29	9.29484	0.879105	2.24405	0.947867	0.0199052	0.00236967	0.0298578
1660	34	9.37412	0.883871	2.21447	0.938527	0.0328484	0.00281558	0.0258095
1670	30	9.40891	0.880321	2.26081	0.951022	0.021398	0.00190204	0.0256776
1680	31	9.89977	0.876982	2.2282	0.944733	0.023146	0.0014171	0.0307038
1690	26	9.41876	0.874395	2.23845	0.951475	0.018078	0.00190295	0.0285442
1700	28	9.20419	0.876692	2.19547	0.938967	0.0248826	0.00375587	0.0323944
1710	24	8.40294	0.890366	2.31257	0.939408	0.0324096	0.00234852	0.0258337
1720	26	9.27637	0.889551	2.31956	0.944287	0.0302172	0.00141643	0.0240793
1730	27	9.80046	0.893865	2.28328	0.93633	0.0304307	0.00234082	0.0308989
1740	30	10.5708	0.896709	2.2917	0.946074	0.025544	0.00189215	0.0264901
1750	30	11.1141	0.896549	2.34099	0.940734	0.0253998	0.00235183	0.0315146
1760	28	10.8358	0.902571	2.30827	0.942951	0.0240453	0.00330033	0.029703
1770	28	10.7811	0.902204	2.32403	0.935891	0.0318203	0.00187178	0.0304165
1780	29	10.1414	0.898389	2.29443	0.947418	0.0288963	0.00189484	0.0217906
1790	30	9.96847	0.896306	2.33443	0.944287	0.0250236	0.00141643	0.0292729
1800	29	9.84906	0.893382	2.29401	0.934143	0.0303596	0.000934143	0.0345633
1810	28	10.3757	0.890908	2.26717	0.93985	0.0272556	0.0018797	0.031015
1820	26	9.49458	0.88204	2.28252	0.93985	0.0277256	0.0037594	0.0286654
1830	31	10.7578	0.879992	2.28095	0.942507	0.0226202	0.00141376	0.033459
1840	34	10.2455	0.878262	2.22983	0.943396	0.0264151	0.00141509	0.0287736
1850	31	12.1645	0.882998	2.28769	0.947867	0.0222749	0.000947867	0.02891
1860	33	13.8936	0.885915	2.30487	0.935016	0.0336606	0.00187003	0.029453
1870	29	12.9743	0.878828	2.28436	0.936768	0.0271663	0.00327869	0.0327869
1880	34	12.6496	0.876687	2.19603	0.950119	0.0266033	0.00285036	0.0204276
1890	36	12.5493	0.883019	2.27578	0.947867	0.0227488	0.00189573	0.0274882
1900	32	13.384	0.887793	2.27521	0.946074	0.026017	0.00425733	0.0236518
1910	28	12.6262	0.88294	2.28099	0.940291	0.0282087	0.000940291	0.0305595
1920	24	11.307	0.880283	2.23134	0.94697	0.0260417	0.00284091	0.0241477
1930	27	12.1937	0.878616	2.25081	0.938967	0.0276995	0.0028169	0.0305164
1940	36	11.5121	0.879428	2.25675	0.936768	0.0224824	0.00234192	0.0384075
1950	28	10.9726	0.87278	2.21006	0.939408	0.0258337	0.00328793	0.0314702
1960	29	10.5335	0.864066	2.15509	0.94518	0.0274102	0.00283554	0.0245747
1970	28	12.0633	0.866238	2.1954	0.935891	0.0290126	0.00327562	0.0318203
1980	30	12.3594	0.863087	2.21053	0.942063	0.0235516	0.00376825	0.0306171
1990	30	14.2399	0.8677	2.22704	0.942063	0.0273198	0.00282619	0.0277909
2000	28	15.1702	0.871614	2.22076	0.946522	0.0274491	0.00189304	0.0241363
2010	27	12.726	0.85832	2.2196	0.943841	0.0268995	0.0023596	0.0268995
2020	30	10.6772	0.854908	2.19487	0.938086	0.0229831	0.00375235	0.0351782
2030	34	12.491	0.849702	2.15224	0.94518	0.0226843	0.00330813	0.028828
2040	36	12.6736	0.854664	2.23131	0.943396	0.0231132	0.00188679	0.0316038
2050	31	11.9571	0.854633	2.26729	0.935016	0.028518	0.00327256	0.0331931
2060	34	13.7756	0.867461	2.23716	0.935016	0.0308555	0.000935016	0.0331931
2070	37	14.4606	0.87192	2.25164	0.941176	0.0207059	0.00329412	0.0348235
2080	32	14.3701	0.873284	2.28357	0.94518	0.0222117	0.00189036	0.0307183
2090	31	15.3112	0.875431	2.25539	0.938527	0.0244017	0.00328484	0.033787
2100	38	16.9375	0.871788	2.33733	0.942507	0.0282752	0.000471254	0.0287465
2110	37	14.9147	0.877828	2.27808	0.94162	0.0254237	0.00235405	0.0306026
2120	38	14.3711	0.879492	2.31239	0.935016	0.0257129	0.00420757	0.0350631
2130	37	14.3059	0.880101	2.27005	0.93985	0.0338346	0.00281955	0.0234962
2140	33	13.8319	0.890033	2.28031	0.94518	0.0278828	0.00283554	0.0241021
2150	33	11.78	0.88891	2.32807	0.941176	0.024	0.00188235	0.0329412
2160	36	12.0608	0.899291	2.30267	0.948767	0.0218216	0.00237192	0.0270398
2170	30	12.3108	0.896951	2.29437	0.943396	0.0226415	0.00330189	0.0306604
2180	30	11.0024	0.895009	2.29292	0.939408	0.0300611	0.00140911	0.0291217
2190	29	11.1614	0.891498	2.30608	0.95511	0.0210124	0.00143266	0.0224451
2200	26	11.3461	0.888966	2.29251	0.942507	0.0268615	0.00235627	0.0282752
