Generation number	Allele number	Frequency	Activity
0	-3	0.95	0.09
0	0	1	0.9375
10	-3	0.6	0.4575
10	0	0.578947	0.7375
10	1	0.263158	0.7
10	2	0.105263	0.95
10	4	0.0526316	1
20	-3	0.6125	0.42625
20	0	0.842105	0.65
20	1	0.157895	0.3
30	-3	0.25	0.3625
30	0	0.473684	0.7125
30	6	0.526316	0.8375
40	-3	0.5	0.39
40	6	0.368421	0.7
40	8	0.631579	0.6875
40	11	0.0526316	0.9375
50	-3	0.4875	0.29375
50	6	0.210526	0.2625
50	8	0.473684	0.35
50	12	0.210526	0.975
50	13	0.0526316	1
50	14	0.105263	1
60	-3	0.3625	0.39125
60	12	0.0526316	0.55
60	14	1	0.775
70	-3	0.45	0.2075
70	14	0.368421	0.425
70	16	0.684211	0.675
80	-3	0.7375	0.18875
80	14	1.05263	0.525
90	-3	0.775	0.2725
90	14	1.05263	0.7
100	-3	0.625	0.3825
100	14	0.315789	0.5125
100	19	0.736842	0.5625
110	-3	0.7375	0.33875
110	19	0.789474	0.55
110	20	0.263158	0.7375
120	-3	0.7125	0.38375
120	21	0.578947	0.825
120	22	0.263158	0.75
120	24	0.210526	0.8625
130	-3	0.675	0.2925
130	21	0.526316	0.425
130	24	0.526316	0.5125
140	-3	0.5375	0.43375
140	21	0.105263	0.3375
140	24	0.157895	0.3375
140	26	0.526316	0.85
140	27	0.263158	0.8125
150	-3	0.525	0.335
150	27	0.210526	0.325
150	29	0.105263	0.35
150	31	0.421053	0.8125
150	32	0.315789	0.875
160	-3	0.6	0.2975
160	27	0.0526316	0.225
160	31	0.421053	0.5375
160	32	0.578947	0.6625
170	-3	0.45	0.3825
170	32	0.684211	0.3125
170	34	0.368421	0.8375
180	-3	0.475	0.4425
180	32	0.157895	0.35
180	34	0.210526	0.6875
180	35	0.631579	0.6875
180	39	0.0526316	1
190	-3	0.275	0.3725
190	32	0.105263	0.2375
190	35	0.631579	0.4625
190	41	0.157895	0.9875
190	42	0.157895	1
200	-3	0.3625	0.40125
200	41	0.526316	0.65
200	42	0.105263	0.5
200	44	0.421053	0.8625
210	-3	0.3125	0.28625
210	41	0.473684	0.2375
210	44	0.578947	0.4875
220	-3	0.3	0.3375
220	41	1.05263	0.4625
230	-3	0.5625	0.28375
230	41	0.736842	0.45
230	46	0.315789	0.475
240	-3	0.55	0.3975
240	41	0.263158	0.375
240	47	0.789474	0.775
250	-3	0.5	0.4075
250	41	0.210526	0.2875
250	47	0.842105	0.5
260	-3	0.375	0.3775
260	41	0.263158	0.25
260	47	0.421053	0.225
260	49	0.368421	0.975
270	-3	0.45	0.3775
270	49	0.789474	0.6875
270	52	0.210526	0.75
270	54	0.0526316	0.95
280	-3	0.35	0.3125
280	49	0.631579	0.6625
280	52	0.0526316	0.3125
280	54	0.315789	0.6875
280	56	0.0526316	0.9
290	-3	0.2625	0.30125
290	56	0.0526316	0.6
290	58	0.736842	0.8125
290	59	0.263158	0.925
300	-3	0.4875	0.30125
300	56	0.631579	0.4875
300	58	0.263158	0.55
300	59	0.157895	0.5125
310	-3	0.5875	0.35375
310	56	0.631579	0.425
310	59	0.421053	0.3125
320	-3	0.5625	0.29375
320	56	0.210526	0.325
320	60	0.578947	0.45
320	61	0.263158	0.8
330	-3	0.7625	0.33625
330	56	0.315789	0.15
330	61	0.736842	0.45
340	-3	0.5625	0.34625
340	61	0.473684	0.375
340	63	0.578947	0.95
350	-3	0.45	0.2425
350	63	0.526316	0.6125
350	64	0.210526	0.5125
350	65	0.0526316	0.95
350	66	0.105263	0.9
350	67	0.157895	0.9625
360	-3	0.3	0.405
360	63	0.105263	0.3125
360	65	0.157895	0.475
360	67	0.210526	0.6375
360	69	0.578947	0.8875
370	-3	0.325	0.2525
370	69	0.368421	0.55
370	70	0.368421	0.85
370	73	0.210526	0.9125
370	74	0.105263	0.8625
380	-3	0.4875	0.44875
380	70	0.105263	0.35
380	73	0.157895	0.6125
380	74	0.473684	0.55
380	77	0.210526	0.9375
380	78	0.105263	1
390	-3	0.4625	0.37625
390	73	0.157895	0.35
390	78	0.894737	0.75
400	-3	0.3125	0.32875
400	78	0.473684	0.525
400	79	0.421053	0.5625
