Generation number	Allele number	Frequency	Activity
0	0	1	0.999898
10	0	1	0.998918
20	0	0.998999	0.997885
20	1	0.0010005	0.999376
30	0	0.994997	0.996835
30	1	0.0030015	0.998259
30	2	0.00150075	0.999611
30	3	0.00050025	1
40	0	0.996998	0.995911
40	2	0.0010005	0.998541
40	3	0.002001	0.999038
50	0	0.997499	0.994726
50	3	0.00050025	0.998219
50	9	0.002001	0.999563
60	0	0.997999	0.99363
60	9	0.0010005	0.998663
60	11	0.0010005	1
70	0	0.984992	0.992328
70	9	0.0090045	0.997875
70	11	0.0010005	0.998996
70	12	0.0050025	0.999094
80	0	0.967484	0.991138
80	9	0.0215108	0.99706
80	12	0.0110055	0.997946
90	0	0.944972	0.98981
90	9	0.0475238	0.996633
90	12	0.00750375	0.997271
100	0	0.931466	0.988404
100	9	0.064032	0.995953
100	12	0.00450225	0.996181
110	0	0.914957	0.987345
110	9	0.0850425	0.994855
120	0	0.909455	0.987133
120	9	0.0905453	0.994048
130	0	0.916958	0.98589
130	9	0.0825413	0.993174
130	19	0.00050025	0.999588
140	0	0.917459	0.983811
140	9	0.0790395	0.992606
140	19	0.00350175	0.998425
150	0	0.898449	0.982519
150	9	0.101551	0.991605
160	0	0.912956	0.981349
160	9	0.0870435	0.990589
170	0	0.917459	0.979265
170	9	0.0775388	0.989568
170	26	0.0050025	0.999441
180	0	0.924462	0.978384
180	9	0.0730365	0.987868
180	26	0.00250125	0.998444
190	0	0.915458	0.977241
190	9	0.0845423	0.986521
200	0	0.913457	0.975678
200	9	0.0855428	0.985073
200	32	0.0010005	0.999715
210	0	0.856928	0.973872
210	9	0.143072	0.983625
220	0	0.866933	0.972085
220	9	0.133067	0.982469
230	0	0.872436	0.970349
230	9	0.126063	0.981358
230	36	0.00150075	0.999794
240	0	0.871936	0.970113
240	9	0.128064	0.981033
250	0	0.897949	0.968185
250	9	0.102051	0.98019
260	0	0.875938	0.965535
260	9	0.12006	0.978765
260	42	0.004002	0.999466
270	0	0.884942	0.962806
270	9	0.107054	0.976509
270	42	0.00550275	0.998515
270	45	0.00250125	0.999388
280	0	0.874437	0.962029
280	9	0.109555	0.974924
280	42	0.0105053	0.997419
280	45	0.004002	0.998504
280	47	0.00150075	0.999884
290	0	0.86093	0.960531
290	9	0.111056	0.973723
290	42	0.0110055	0.99673
290	45	0.0010005	0.997561
290	47	0.016008	0.998713
300	0	0.845923	0.959149
300	9	0.131066	0.972638
300	42	0.0070035	0.995709
300	45	0.00150075	0.996293
300	47	0.014007	0.997796
300	48	0.00050025	0.999761
310	0	0.884442	0.956901
310	9	0.0990495	0.971913
310	42	0.006003	0.994395
310	47	0.00950475	0.996706
310	51	0.0010005	1
320	0	0.890945	0.955259
320	9	0.101051	0.97241
320	42	0.008004	0.993075
330	0	0.89945	0.954001
330	9	0.0835418	0.970986
330	42	0.0170085	0.99213
340	0	0.913957	0.951456
340	9	0.0790395	0.970219
340	42	0.00450225	0.990895
340	54	0.00250125	0.999556
350	0	0.925963	0.948804
350	9	0.0725363	0.969459
350	54	0.00150075	0.998664
360	0	0.946473	0.94663
360	9	0.0530265	0.968838
360	54	0.00050025	0.9975
370	0	0.96048	0.94432
370	9	0.0355178	0.967325
370	62	0.00250125	0.99964
370	64	0.00150075	0.999786
380	0	0.948974	0.942113
380	9	0.050025	0.966608
380	68	0.00050025	0.999466
380	70	0.00050025	1
390	0	0.91946	0.937555
390	9	0.078039	0.964751
390	68	0.002001	0.998488
390	74	0.00050025	0.999708
400	0	0.924462	0.934678
400	9	0.072036	0.96344
400	74	0.0010005	0.998548
400	77	0.00150075	0.999698
400	78	0.0010005	0.999884
410	0	0.926963	0.932493
410	9	0.070035	0.962325
410	77	0.0010005	0.998675
410	78	0.002001	0.998984
420	0	0.933467	0.928101
420	9	0.0605303	0.960858
420	78	0.002001	0.998043
420	81	0.00250125	0.999415
420	82	0.00050025	0.999808
420	83	0.0010005	1
430	0	0.94097	0.92484
430	9	0.0535268	0.959004
430	82	0.00250125	0.998931
430	86	0.0030015	0.999879
440	0	0.912956	0.922831
440	9	0.0830415	0.958504
440	86	0.004002	0.998995
450	0	0.898449	0.920146
450	9	0.0845423	0.956324
450	86	0.0115058	0.997996
450	89	0.00450225	0.999171
450	90	0.0010005	0.999189
460	0	0.934467	0.915826
460	9	0.0550275	0.956761
460	86	0.00650325	0.997135
460	89	0.004002	0.998388
470	0	0.93997	0.913142
470	9	0.054027	0.954684
470	89	0.006003	0.99747
480	0	0.947974	0.910183
480	9	0.0430215	0.953519
480	89	0.00850425	0.99653
480	95	0.00050025	1
490	0	0.938469	0.90828
490	9	0.0510255	0.952432
490	89	0.0070035	0.995074
490	95	0.00350175	0.998988
500	0	0.924962	0.905314
500	9	0.0585293	0.950882
500	95	0.014007	0.997836
500	98	0.00250125	0.999198
510	0	0.921461	0.901426
510	9	0.0650325	0.950135
510	95	0.010005	0.997009
510	98	0.0010005	0.998384
510	99	0.00250125	0.99961
520	0	0.907954	0.897571
520	9	0.076038	0.948651
520	95	0.00350175	0.995986
520	98	0.0030015	0.997244
520	99	0.008004	0.998495
520	104	0.00150075	0.999781
530	0	0.929965	0.894078
530	9	0.0585293	0.949971
530	99	0.00250125	0.997364
530	104	0.0090045	0.99895
540	0	0.955478	0.889745
540	9	0.034017	0.949899
540	99	0.00150075	0.996081
540	104	0.0090045	0.997948
550	0	0.957479	0.886029
550	9	0.0355178	0.949465
550	104	0.0070035	0.996874
560	0	0.947974	0.88199
560	9	0.050025	0.948749
