Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
0	1	1	0.9375	0.000699	0.487805	0.439024	0	0.0731707	0.266647
10	4	2.39073	0.763816	0.001144	0.333333	0.433333	0.0333333	0.2	0.22961
20	2	1.36226	0.594737	0.001534	0.185185	0.694444	0	0.12037	0.256845
30	2	1.99448	0.778289	0.00098	0.392157	0.490196	0.0392157	0.0784314	0.203864
40	3	1.86082	0.741447	0.000884	0.465116	0.488372	0.0232558	0.0232558	0.221591
50	5	3.05932	0.584211	0.001078	0.350877	0.578947	0.0350877	0.0350877	0.203398
60	2	0.997238	0.803947	0.001524	0.196078	0.656863	0.0294118	0.117647	0.225579
70	2	1.65596	0.618421	0.001201	0.266667	0.586667	0.04	0.106667	0.250099
80	1	0.9025	0.552632	0.002789	0.100503	0.613065	0.0201005	0.266332	0.215556
90	1	0.9025	0.736842	0.001124	0.238095	0.714286	0.0119048	0.0357143	0.26994
100	2	1.55603	0.576316	0.001249	0.25974	0.493506	0.025974	0.220779	0.221587
110	2	1.444	0.628289	0.000986	0.363636	0.545455	0.0181818	0.0727273	0.248962
120	3	2.2284	0.856579	0.001183	0.384615	0.461538	0.0192308	0.134615	0.220218
130	2	1.805	0.493421	0.001366	0.229885	0.574713	0.0229885	0.172414	0.233853
140	4	2.61594	0.75	0.001395	0.273973	0.479452	0.0410959	0.205479	0.239003
150	4	3.00833	0.723684	0.000721	0.555556	0.25	0.0277778	0.166667	0.186344
160	3	1.94086	0.621711	0.001156	0.294118	0.441176	0.0294118	0.235294	0.216423
170	2	1.65596	0.522368	0.001273	0.28169	0.507042	0.028169	0.183099	0.221032
180	4	2.12353	0.686842	0.001115	0.344828	0.517241	0.0172414	0.12069	0.206497
190	4	2.1747	0.630921	0.001062	0.363636	0.490909	0.0181818	0.127273	0.196039
200	3	2.14881	0.757895	0.001003	0.357143	0.482143	0.0178571	0.142857	0.241313
210	2	1.78713	0.394737	0.002382	0.103627	0.772021	0.015544	0.108808	0.308393
220	1	0.9025	0.486842	0.003373	0.0564972	0.875706	0.0112994	0.0564972	0.405
230	2	1.55603	0.481579	0.002446	0.102041	0.760204	0.00510204	0.132653	0.315476
240	2	1.444	0.710526	0.000749	0.512821	0.358974	0.0512821	0.0769231	0.234365
250	2	1.32721	0.481579	0.001575	0.18018	0.702703	0	0.117117	0.282183
260	3	2.61594	0.519737	0.001207	0.229885	0.666667	0	0.103448	0.300224
270	3	1.49174	0.750658	0.001246	0.27027	0.513514	0.0135135	0.202703	0.284901
280	4	1.98352	0.699342	0.000784	0.465116	0.465116	0	0.0697674	0.268724
290	3	1.62613	0.873684	0.001047	0.37037	0.5	0.037037	0.0925926	0.195599
300	3	2.02809	0.533553	0.001921	0.176991	0.60177	0.00884956	0.212389	0.21901
310	2	1.73558	0.4	0.003059	0.0829876	0.705394	0.0124481	0.19917	0.310198
320	3	2.2284	0.539474	0.001073	0.322581	0.5	0.0322581	0.145161	0.217596
330	2	1.55603	0.378947	0.002541	0.0930233	0.832558	0.00465116	0.0697674	0.352877
340	2	1.78713	0.727632	0.001015	0.327869	0.606557	0.0327869	0.0327869	0.237109
350	5	2.77692	0.726974	0.00141	0.322581	0.451613	0.0483871	0.177419	0.186259
360	4	2.40667	0.755921	0.001213	0.425532	0.425532	0.0212766	0.12766	0.191873
