Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate
0	1	1	0.999883	1.49593	0.947418	0.0435812	0.00142113	0.00757935
10	2	1.002	0.998962	1.47322	0.944287	0.0424929	0.00283286	0.0103872
20	1	1	0.997805	1.45074	0.950119	0.0432304	0.000475059	0.00617577
30	1	1	0.996916	1.45532	0.946522	0.0421202	0.00331283	0.00804543
40	1	1	0.99601	1.48005	0.944733	0.0420406	0.0028342	0.0103921
50	3	1.01716	0.994764	1.50196	0.946074	0.0421003	0.00283822	0.0089877
60	4	1.03568	0.993287	1.50707	0.948317	0.0412518	0.00237079	0.00806069
70	3	1.02948	0.991936	1.48502	0.948767	0.0403226	0.00332068	0.00759013
80	3	1.06417	0.991028	1.52908	0.938527	0.0455185	0.00375411	0.0122008
90	3	1.10845	0.989966	1.56609	0.941176	0.0442353	0.00329412	0.0112941
100	6	1.16672	0.989098	1.59518	0.947867	0.0417062	0.0028436	0.00758294
110	4	1.19712	0.988103	1.64958	0.947418	0.0378967	0.00189484	0.0127901
120	4	1.27591	0.987442	1.68682	0.946522	0.0392806	0.00473261	0.00946522
130	3	1.28446	0.985653	1.69386	0.940291	0.0413728	0.00235073	0.015985
140	3	1.40045	0.984384	1.71861	0.953743	0.0343348	0.00190749	0.0100143
150	2	1.35639	0.983431	1.69127	0.951022	0.0370899	0.00142653	0.0104612
160	2	1.44492	0.982087	1.7332	0.946522	0.0421202	0.00189304	0.00946522
170	2	1.47734	0.981485	1.74713	0.948317	0.0365102	0.00189663	0.0132764
180	3	1.43365	0.979777	1.77697	0.947418	0.0383704	0.00236855	0.0118427
190	3	1.47387	0.978205	1.82409	0.952381	0.0314286	0.00238095	0.0138095
200	7	1.53224	0.977214	1.81092	0.948317	0.0369844	0.00189663	0.0128023
210	5	1.59504	0.975707	1.78616	0.951022	0.0332858	0.00285307	0.0128388
220	6	1.60113	0.974611	1.79307	0.953289	0.0333651	0.00142993	0.0119161
230	6	1.70402	0.97391	1.83385	0.95057	0.0342205	0.00190114	0.013308
240	7	2.0614	0.974058	1.89215	0.943841	0.0349221	0.00330345	0.017933
250	5	2.2449	0.97325	1.92869	0.954198	0.0329198	0.0028626	0.0100191
260	5	2.29362	0.973097	1.97287	0.944733	0.0349551	0.00519603	0.0151157
