Generation number	Allele number	Frequency	Activity
0	-3	0	0.999984
0	0	1	0.999993
10	-3	0	0.999894
10	0	1	0.99988
20	-3	0	0.999755
20	0	1	0.999739
30	-3	0	0.999693
30	0	1	0.999598
40	-3	0	0.999683
40	0	1	0.999461
50	-3	0	0.999611
50	0	0.996998	0.999435
50	7	0.00150075	0.99999
50	8	0.00150075	0.999982
60	-3	0	0.999568
60	0	1	0.999294
70	-3	0	0.999429
70	0	0.989995	0.99916
70	11	0.010005	0.99995
80	-3	0	0.999221
80	0	0.994497	0.999128
80	11	0.00350175	0.999866
80	13	0.00050025	0.999965
80	14	0.00150075	0.999989
90	-3	0	0.999145
90	0	0.993497	0.998906
90	11	0.006003	0.999788
90	15	0.00050025	0.999926
100	-3	0	0.998991
100	0	0.991996	0.998849
100	11	0.006003	0.999661
100	17	0.002001	0.999979
110	-3	0	0.999089
110	0	0.96048	0.998641
110	11	0.028014	0.999646
110	17	0.0030015	0.999855
110	18	0.00850425	0.999949
120	-3	0	0.999076
120	0	0.945473	0.99863
120	11	0.0455228	0.999556
120	18	0.0090045	0.999805
130	-3	0	0.998865
130	0	0.969985	0.998333
130	11	0.024012	0.999445
130	18	0.00350175	0.999688
130	23	0.00250125	0.999971
140	-3	0	0.998718
140	0	0.970485	0.998078
140	11	0.0110055	0.999354
140	23	0.00350175	0.999913
140	27	0.0070035	0.999919
140	29	0.0050025	0.999945
140	30	0.00150075	0.999982
140	31	0.00150075	0.999996
150	-3	0	0.998425
150	0	0.987494	0.998061
150	11	0.00150075	0.999184
150	23	0.00050025	0.999766
150	27	0.00350175	0.999834
150	29	0.004002	0.99976
150	33	0.0030015	0.999953
160	-3	0	0.998278
160	0	0.976988	0.997844
160	11	0.002001	0.999136
160	27	0.00950475	0.999665
160	29	0.002001	0.999653
160	33	0.00750375	0.999906
160	35	0.002001	0.99989
170	-3	0	0.998128
170	0	0.984492	0.997723
170	11	0.0070035	0.999024
170	27	0.00050025	0.999645
170	33	0.0050025	0.999733
170	35	0.002001	0.999725
170	42	0.0010005	0.999986
180	-3	0	0.99796
180	0	0.988994	0.997186
180	11	0.00650325	0.998961
180	33	0.00250125	0.999623
180	47	0.002001	1
190	-3	0	0.997808
190	0	0.976488	0.99712
190	11	0.00650325	0.9988
190	33	0.0105053	0.999645
190	47	0.00650325	0.999905
200	-3	0	0.997806
200	0	0.976488	0.996744
200	11	0.0125063	0.998735
200	33	0.008004	0.999553
200	47	0.002001	0.99981
200	51	0.0010005	0.999981
210	-3	0	0.997821
210	0	0.969985	0.996986
210	11	0.0115058	0.998611
210	33	0.0130065	0.999406
210	51	0.00550275	0.999871
220	-3	0	0.997793
220	0	0.973487	0.996955
220	11	0.00650325	0.998496
220	33	0.0175088	0.999126
220	51	0.00250125	0.999803
230	-3	0	0.997503
230	0	0.990495	0.996416
230	11	0.0010005	0.998448
230	33	0.006003	0.998871
230	51	0.00050025	0.999699
230	56	0.002001	0.999969
240	-3	0	0.99731
240	0	0.992496	0.996281
240	11	0.0010005	0.998305
240	33	0.004002	0.998763
240	56	0.00250125	0.999928
250	-3	0	0.997034
250	0	0.992996	0.995968
250	33	0.00450225	0.998639
250	56	0.00250125	0.999909
260	-3	0	0.996791
260	0	0.992996	0.995606
260	33	0.00150075	0.998489
260	56	0.00550275	0.999779
270	-3	0	0.996364
270	0	1	0.995129
280	-3	0	0.996806
280	0	0.994997	0.995058
280	67	0.0050025	0.999984
290	-3	0	0.996764
290	0	0.998499	0.994963
290	70	0.00150075	0.999991
300	-3	0	0.996761
300	0	1	0.995134
310	-3	0	0.996676
310	0	0.995498	0.995186
310	72	0.00450225	0.999908
320	-3	0	0.996236
320	0	1	0.994864
330	-3	0	0.996545
