Generation number	Allele number	Frequency	Activity
0	0	1	0.999991
10	0	0.986493	0.999844
10	2	0.002001	0.999888
10	4	0.0010005	0.999943
10	8	0.0010005	0.999924
10	10	0.00050025	0.999941
10	17	0.00350175	0.999945
10	22	0.0050025	0.999974
10	23	0.00050025	0.999993
20	0	0.975488	0.999674
20	2	0.00050025	0.999826
20	8	0.00150075	0.999819
20	17	0.00650325	0.999794
20	22	0.002001	0.999908
20	24	0.008004	0.999906
20	27	0.00050025	0.999944
20	40	0.00050025	0.999951
20	41	0.00350175	0.999971
20	42	0.00050025	1
20	43	0.0010005	1
30	0	0.951976	0.999583
30	8	0.0010005	0.999763
30	17	0.00450225	0.999741
30	24	0.0145073	0.999789
30	41	0.0235118	0.99988
30	42	0.0010005	0.99991
30	49	0.0030015	0.999963
30	56	0.00050025	1
40	0	0.944972	0.999367
40	17	0.0030015	0.99966
40	24	0.0155078	0.999703
40	41	0.0165083	0.999815
40	42	0.00150075	0.999849
40	49	0.0070035	0.999771
40	59	0.004002	0.999889
40	61	0.00150075	0.999944
40	63	0.0010005	0.99992
40	69	0.00150075	0.999978
40	72	0.00150075	0.999993
40	73	0.00050025	0.999988
40	74	0.00050025	1
40	75	0.0010005	1
50	0	0.931466	0.999248
50	24	0.00150075	0.999588
50	41	0.0265133	0.999774
50	49	0.0070035	0.999669
50	59	0.008004	0.999749
50	61	0.00450225	0.999853
50	63	0.00850425	0.999831
50	73	0.00150075	0.999896
50	75	0.008004	0.999915
50	76	0.0010005	0.999935
50	92	0.00050025	0.99996
50	98	0.00050025	0.999976
50	101	0.0010005	0.999993
60	0	0.917459	0.999259
60	24	0.00050025	0.999618
60	41	0.0225113	0.999561
60	49	0.00450225	0.999625
60	59	0.0215108	0.999655
60	61	0.0105053	0.999749
60	63	0.00850425	0.999731
60	75	0.00550275	0.99975
60	92	0.00150075	0.999864
60	108	0.0010005	0.999965
60	109	0.00150075	0.999989
60	112	0.00050025	0.999971
60	113	0.00050025	0.999954
60	114	0.00150075	0.999968
60	116	0.00050025	1
60	117	0.002001	1
70	0	0.89995	0.99903
70	41	0.0155078	0.999411
70	49	0.0030015	0.999535
70	59	0.04002	0.999581
70	61	0.0165083	0.99962
70	63	0.008004	0.999599
70	75	0.00150075	0.999599
70	92	0.006003	0.999677
70	116	0.0010005	0.999905
70	117	0.00650325	0.999914
70	119	0.0010005	0.999914
70	123	0.00050025	0.999954
70	129	0.00050025	0.999998
80	0	0.915458	0.999
80	41	0.0070035	0.999381
80	49	0.004002	0.999425
80	59	0.0365183	0.999543
80	61	0.00450225	0.999576
80	63	0.0165083	0.999468
80	75	0.0030015	0.999373
80	92	0.00250125	0.999529
80	117	0.0010005	0.999871
80	131	0.0050025	0.99992
80	144	0.002001	0.999984
80	146	0.00050025	0.999991
80	147	0.0010005	0.999984
80	149	0.00050025	0.999991
80	151	0.00050025	1
90	0	0.867434	0.99884
90	41	0.00450225	0.99946
90	49	0.002001	0.999461
90	59	0.0415208	0.999375
90	61	0.00250125	0.999414
90	63	0.0375188	0.999394
90	75	0.0125063	0.999101
90	131	0.0165083	0.999754
90	144	0.004002	0.999804
90	151	0.008004	0.999915
90	156	0.00050025	0.99988
90	163	0.00250125	0.999936
90	172	0.00050025	1
